grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.555072463768116
3,15,0.09,0.7764036202113971,0.777536231884058
5,15,0.09,0.8587050577708435,0.8532608695652174
7,15,0.09,0.8389775697950045,0.8362318840579709
9,15,0.09,0.8233677573569427,0.8217391304347826
11,15,0.09,0.8541318453770497,0.8478260869565217
13,15,0.09,0.8085629591898407,0.8057971014492754
15,15,0.09,0.8319398181193612,0.8297101449275364
17,15,0.09,0.8195647313456839,0.8159420289855073
19,15,0.09,0.8002208637480704,0.7981884057971016
