grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.3856
3,15,0.09,0.7236357604220955,0.7562666666666666
5,15,0.09,0.7501259856081585,0.7757333333333334
7,15,0.09,0.7351961901516235,0.7602666666666666
9,15,0.09,0.7500606629056585,0.7762666666666667
11,15,0.09,0.740320588316962,0.7645333333333333
13,15,0.09,0.7526713422916521,0.7765333333333334
15,15,0.09,0.7405165212396689,0.7653333333333332
17,15,0.09,0.7536619110729258,0.7765333333333333
19,15,0.09,0.7420500106013784,0.7661333333333333
