grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.6500699787719897
3,15,0.09,0.9688827218976284,0.9688852281174036
5,15,0.09,0.9752334413461415,0.9721819314141069
7,15,0.09,0.9702026738935846,0.9699834595629842
9,15,0.09,0.9748120509112883,0.9725468924737664
11,15,0.09,0.9741884225540863,0.9729138624933871
13,15,0.09,0.9728991392488361,0.972180592107466
15,15,0.09,0.9734745036019442,0.9732781538997262
17,15,0.09,0.9721067692544558,0.9718129524345246
19,15,0.09,0.976763368595843,0.975109655731228
