grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.34895897884060273
3,15,0.09,0.6550714618731373,0.5963253091814306
5,15,0.09,0.7032432339205192,0.6695754879372898
7,15,0.09,0.719927746742531,0.6975874579592702
9,15,0.09,0.7247497334328754,0.7089769868382723
11,15,0.09,0.7176814252716526,0.6940033367760388
13,15,0.09,0.7302099474567871,0.7125563411985911
15,15,0.09,0.7138505349702424,0.6926951087100447
17,15,0.09,0.7273427764939022,0.7044214930748656
19,15,0.09,0.717900880658255,0.6865252509202616
