grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.6410269445856634
3,15,0.09,0.7291395168322875,0.6737239450940519
5,15,0.09,0.7378467782969307,0.6879893238434164
7,15,0.09,0.7400094474621497,0.6972292831723437
9,15,0.09,0.7282961984860485,0.6829842399593289
11,15,0.09,0.7291309855087874,0.6879969496695475
13,15,0.09,0.7442060095475418,0.7022267412303
15,15,0.09,0.7396714120462435,0.7043772241992883
17,15,0.09,0.7478836484158626,0.7086476868327403
19,15,0.09,0.7415975670685555,0.7028800203355363
