grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.5555555555555556
3,15,0.09,0.9631777350191669,0.9677777777777777
5,15,0.09,0.9307046263401038,0.9388888888888888
7,15,0.09,0.9113917234010517,0.921111111111111
9,15,0.09,0.9321648956337416,0.9400000000000001
11,15,0.09,0.9422585261397041,0.9488888888888889
13,15,0.09,0.9476940423848635,0.9533333333333334
15,15,0.09,0.9386208838440796,0.9455555555555556
17,15,0.09,0.9474397302025931,0.9533333333333334
19,15,0.09,0.9462817755600458,0.9522222222222222
