grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.6090327169274538
3,15,0.09,0.8314170051460096,0.8598150782361309
5,15,0.09,0.849747512668397,0.8727596017069702
7,15,0.09,0.8357899385560674,0.8702702702702702
9,15,0.09,0.8374261894830234,0.8647226173541963
11,15,0.09,0.843728431422119,0.8729018492176387
13,15,0.09,0.8221369367639528,0.854054054054054
15,15,0.09,0.8299002286491163,0.8595305832147938
17,15,0.09,0.8297126268244177,0.8623755334281649
19,15,0.09,0.8734928315412185,0.89950213371266
