grain,limit,radius,bac,accuracy
5,1,0.25,0.6118543476236564,0.6021739130434783
5,3,0.25,0.7726010985291893,0.772463768115942
5,5,0.25,0.8056233436973338,0.802536231884058
5,7,0.25,0.8023088928905301,0.8018115942028986
5,9,0.25,0.7440550483710874,0.7474637681159421
5,11,0.25,0.8488706176507004,0.8431159420289853
5,13,0.25,0.7936682309356334,0.7894927536231884
5,15,0.25,0.832363159163832,0.830072463768116
5,17,0.25,0.8206594976723439,0.816304347826087
5,19,0.25,0.7921109342373086,0.7916666666666666
