grain,limit,radius,bac,accuracy
19,1,0.19,0.9132605257344594,0.9129249787385071
19,3,0.19,0.9533199882501158,0.9549792072643992
19,5,0.19,0.9668384640743286,0.9655938820472642
19,7,0.19,0.9736589886731121,0.9707194085621873
19,9,0.19,0.9701049719111003,0.9685189277511033
19,11,0.19,0.9756709099990264,0.9736478025326288
19,13,0.19,0.9767190376069379,0.9743770549986273
19,15,0.19,0.9784022272209135,0.9765735178897884
19,17,0.19,0.9761664582017875,0.9740114242856472
19,19,0.19,0.977824708490534,0.9754752864442079
