grain,limit,radius,bac,accuracy
13,1,0.23,0.6109849428467585,0.607430417626652
13,3,0.23,0.7127156726862859,0.700181139270676
13,5,0.23,0.6764383793342695,0.6633998040306136
13,7,0.23,0.6950941164703132,0.6754641031752338
13,9,0.23,0.714585223362471,0.6975869283122798
13,11,0.23,0.7160855239632111,0.6946595693969969
13,13,0.23,0.7265276112090694,0.7109266174094966
13,15,0.23,0.7149303756747788,0.693673896348084
13,17,0.23,0.7328475522334175,0.7102857445512566
13,19,0.23,0.7323074379534623,0.7070278859140383
