grain,limit,radius,bac,accuracy
5,1,0.21,0.6874329147453542,0.6842592592592592
5,3,0.21,0.7516017918058873,0.7518518518518519
5,5,0.21,0.7437613030850514,0.7583333333333333
5,7,0.21,0.7752385180884532,0.7814814814814814
5,9,0.21,0.7727317067576648,0.7712962962962963
5,11,0.21,0.7783151165548036,0.7842592592592592
5,13,0.21,0.8028546930874901,0.8046296296296296
5,15,0.21,0.7932136626027656,0.7990740740740742
5,17,0.21,0.7994325955375006,0.8027777777777778
5,19,0.21,0.7890229105902062,0.7925925925925926
