grain,limit,radius,bac,accuracy
17,1,0.01,0.6416168223082295,0.6452033553634977
17,3,0.01,0.7556717042216843,0.7506634468734112
17,5,0.01,0.7370514041271222,0.7272064056939502
17,7,0.01,0.747272526473312,0.7321555668530757
17,9,0.01,0.7570483606604148,0.7378546009150992
17,11,0.01,0.7428325177200819,0.731459074733096
17,13,0.01,0.7517537875333685,0.7371504829689883
17,15,0.01,0.7485986772891217,0.7314565327910524
17,17,0.01,0.7625795981151187,0.7464158617183528
17,19,0.01,0.7443560985334401,0.7293263853584138
