grain,limit,radius,bac,accuracy
3,1,0.15,0.9523953877752241,0.9577777777777777
3,3,0.15,0.9622313838985725,0.9666666666666666
3,5,0.15,0.9619740408443912,0.9666666666666666
3,7,0.15,0.9631777350191669,0.9677777777777777
3,9,0.15,0.9631777350191669,0.9677777777777777
3,11,0.15,0.9631777350191669,0.9677777777777777
3,13,0.15,0.9631777350191669,0.9677777777777777
3,15,0.15,0.9631777350191669,0.9677777777777777
3,17,0.15,0.9631777350191669,0.9677777777777777
3,19,0.15,0.9631777350191669,0.9677777777777777
