grain,limit,radius,bac,accuracy
19,1,0.09,0.6691464880171429,0.7406116642958748
19,3,0.09,0.6841960448863953,0.741891891891892
19,5,0.09,0.7946919913219274,0.8323613086770981
19,7,0.09,0.8138164595261369,0.8568990042674253
19,9,0.09,0.8104405424016102,0.8433854907539118
19,11,0.09,0.8360921295828136,0.8676386913229017
19,13,0.09,0.8161979952055731,0.8489331436699858
19,15,0.09,0.8299002286491163,0.8595305832147938
19,17,0.09,0.8247058677711487,0.8596017069701279
19,19,0.09,0.8555013440860215,0.8808677098150783
