grain,limit,radius,bac,accuracy
15,15,0.01,0.747190214609089,0.7781333333333333
15,15,0.03,0.7429791817756439,0.7693333333333333
15,15,0.05,0.7406492723021862,0.7664
15,15,0.07,0.7405155773766414,0.7653333333333332
15,15,0.09,0.7405165212396689,0.7653333333333332
15,15,0.11,0.7416155403097026,0.7656000000000001
15,15,0.13,0.741398773693011,0.7653333333333332
15,15,0.15,0.7430988284476464,0.7656000000000001
15,15,0.17,0.7428833031630784,0.7653333333333334
15,15,0.19,0.7428833031630784,0.7653333333333334
15,15,0.21,0.7428833031630784,0.7653333333333334
15,15,0.23,0.7426677778785102,0.7650666666666666
15,15,0.25,0.7426677778785102,0.7650666666666666
15,15,0.27,0.7426677778785102,0.7650666666666666
15,15,0.29,0.7424522525939423,0.7647999999999999
