grain,limit,radius,bac,accuracy
15,15,0.01,0.9652079090654517,0.9681539666914437
15,15,0.03,0.9702209151805157,0.9703497599292845
15,15,0.05,0.9741875817800286,0.9732801628596874
15,15,0.07,0.973794319014521,0.971814961394486
15,15,0.09,0.9759391214874013,0.9740120939389676
15,15,0.11,0.9756673595452469,0.9736471328793084
0.13,15,0.9759654170517151,15,r_breastcan.csv,0.9743770549986273
15,15,0.15,0.974095060003421,0.9725482317804073
15,15,0.17,0.9751746914347027,0.9736444542660264
0.19,15,0.9762281679953748,15,r_breastcan.csv,0.9743770549986271
15,15,0.21,0.97193930943568,0.9703504295826051
15,15,0.23,0.9756406765497152,0.9736464632259878
15,15,0.25,0.974343657493143,0.9725462228204458
15,15,0.27,0.9730612126458336,0.9721812617607863
15,15,0.29,0.9746103307778455,0.9729131928400667
