grain,limit,radius,bac,accuracy
15,15,0.01,0.7140658478842339,0.6998601731945657
0.03,15,0.7269430106940169,15,r_diabetes.csv,0.7119043457535552
15,15,0.05,0.7110212492762544,0.688461640316729
15,15,0.07,0.7129035993150203,0.6917285029527819
15,15,0.09,0.7129961430850701,0.6914011811127883
15,15,0.11,0.7174785324422641,0.6943158285003046
15,15,0.13,0.72397455828353,0.7037721458647811
15,15,0.15,0.7165540277227239,0.6920515876168534
15,15,0.17,0.7278406673835315,0.7057217764360054
15,15,0.19,0.7055588130980999,0.6855522893991155
15,15,0.21,0.7112239997558645,0.6927168242366463
0.23,15,0.731060258206547,15,r_diabetes.csv,0.7096316305182595
15,15,0.25,0.7203149241072694,0.6992102963374911
15,15,0.27,0.7249411928263181,0.7083276396281878
15,15,0.29,0.7281084376943442,0.7099552448293212
