grain,limit,radius,bac,accuracy
15,15,0.01,0.6285647886443461,0.628
15,15,0.03,0.6320835835108891,0.6285
15,15,0.05,0.6713095238835841,0.65
15,15,0.07,0.6542692615540275,0.67
15,15,0.09,0.6629906820559006,0.66175
15,15,0.11,0.6250262670872588,0.6255
15,15,0.13,0.6588192227306194,0.6575
15,15,0.15,0.6588319617451451,0.66525
15,15,0.17,0.6303611121371365,0.60575
15,15,0.19,0.6473968162920317,0.6375
15,15,0.21,0.6525994544093409,0.64225
15,15,0.23,0.6465105957450114,0.62775
15,15,0.25,0.6662139358544483,0.66025
15,15,0.27,0.6528523787205915,0.6452500000000001
15,15,0.29,0.6442695548784201,0.62425
