grain,limit,radius,bac,accuracy
15,15,0.01,0.645315325430855,0.671875
15,15,0.03,0.6580460159559469,0.6770833333333333
15,15,0.05,0.6523334309618938,0.6708333333333333
15,15,0.07,0.6504636422208678,0.66875
15,15,0.09,0.6504636422208678,0.66875
15,15,0.11,0.6504636422208678,0.66875
15,15,0.13,0.6504636422208678,0.66875
15,15,0.15,0.6504636422208678,0.66875
15,15,0.17,0.6504636422208678,0.66875
15,15,0.19,0.6504636422208678,0.66875
15,15,0.21,0.6504636422208678,0.66875
15,15,0.23,0.6504636422208678,0.66875
15,15,0.25,0.6504636422208678,0.66875
15,15,0.27,0.6504636422208678,0.66875
15,15,0.29,0.6504636422208678,0.66875
