grain,limit,radius,bac,accuracy
15,15,0.01,0.9013314174084475,0.9011379800853485
15,15,0.03,0.8884599174347159,0.8923897581792317
15,15,0.05,0.9111733021258189,0.9060455192034139
15,15,0.07,0.915418970814132,0.9167852062588905
0.09,15,0.9387985472073348,15,r_soybean.csv,0.9412517780938833
15,15,0.11,0.928075819473136,0.9246088193456614
15,15,0.13,0.8936196622790756,0.8982219061166431
15,15,0.15,0.901672331198958,0.8982219061166429
15,15,0.17,0.893766577060932,0.8982219061166431
15,15,0.19,0.9269195788530468,0.9248933143669985
15,15,0.21,0.8883792804996574,0.8877667140825034
15,15,0.23,0.8897412634408601,0.8899004267425321
15,15,0.25,0.8977621971944135,0.90049786628734
15,15,0.27,0.9275785642641872,0.9276671408250354
15,15,0.29,0.8404348251705038,0.8554765291607396
