fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.56521739130434778,0.5
0,0.09,3,15,0.79528985507246375,0.79535256410256405
0,0.09,5,15,0.84601449275362317,0.85224358974358982
0,0.09,7,15,0.77717391304347827,0.78269230769230769
0,0.09,9,15,0.79710144927536231,0.79695512820512815
0,0.09,11,15,0.86050724637681164,0.86794871794871797
0,0.09,13,15,0.84782608695652173,0.85721153846153841
0,0.09,15,15,0.85688405797101452,0.86474358974358978
0,0.09,17,15,0.81521739130434778,0.81826923076923075
0,0.09,19,15,0.85688405797101452,0.86522435897435901
1,0.09,1,15,0.55072463768115942,0.5
1,0.09,3,15,0.86594202898550721,0.87160441426146007
1,0.09,5,15,0.85507246376811596,0.85727928692699495
1,0.09,7,15,0.86775362318840576,0.87139219015280134
1,0.09,9,15,0.8061594202898551,0.80172962648556878
1,0.09,11,15,0.86594202898550721,0.87123302207130726
1,0.09,13,15,0.86594202898550721,0.87160441426146007
1,0.09,15,15,0.78079710144927539,0.78093166383701185
1,0.09,17,15,0.87137681159420288,0.87653862478777589
1,0.09,19,15,0.86594202898550721,0.87160441426146007
2,0.09,1,15,0.5561594202898551,0.5
2,0.09,3,15,0.73007246376811596,0.72559329920893445
2,0.09,5,15,0.86413043478260865,0.87249218905803372
2,0.09,7,15,0.84601449275362317,0.84919896297281128
2,0.09,9,15,0.86775362318840576,0.87451306255401184
2,0.09,11,15,0.82427536231884058,0.83047929269427634
2,0.09,13,15,0.76449275362318836,0.76189589842451633
2,0.09,15,15,0.86594202898550721,0.86505351326198232
2,0.09,17,15,0.86413043478260865,0.87249218905803372
2,0.09,19,15,0.75905797101449279,0.75041547563650868
3,0.09,1,15,0.55797101449275366,0.5
3,0.09,3,15,0.77898550724637683,0.77639982967851817
3,0.09,5,15,0.85144927536231885,0.85666382797530338
3,0.09,7,15,0.84057971014492749,0.8443687460080902
3,0.09,9,15,0.77355072463768115,0.77749095167127957
3,0.09,11,15,0.83876811594202894,0.84615179902065152
3,0.09,13,15,0.75,0.75170321481796898
3,0.09,15,15,0.77536231884057971,0.77783691718117942
3,0.09,17,15,0.80434782608695654,0.80849478390461993
3,0.09,19,15,0.71557971014492749,0.72341388120076644
4,0.09,1,15,0.54528985507246375,0.5
4,0.09,3,15,0.71739130434782605,0.71306799380550889
4,0.09,5,15,0.84963768115942029,0.85484639515029581
4,0.09,7,15,0.84963768115942029,0.84723564214901192
4,0.09,9,15,0.86413043478260865,0.86615001786872448
4,0.09,11,15,0.84963768115942029,0.85484639515029581
4,0.09,13,15,0.80072463768115942,0.80039972998371955
4,0.09,15,15,0.86956521739130432,0.87113340657304339
4,0.09,17,15,0.72463768115942029,0.72202882820875969
4,0.09,19,15,0.79347826086956519,0.7904461886672578
