fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.38133333333333336,0.5
0,0.09,3,15,0.80400000000000005,0.74219776779401558
0,0.09,5,15,0.79866666666666664,0.75925430476608824
0,0.09,7,15,0.77733333333333332,0.73296119241912783
0,0.09,9,15,0.78533333333333333,0.75265337624174655
0,0.09,11,15,0.77733333333333332,0.73268143443647793
0,0.09,13,15,0.78000000000000003,0.74861329336295801
0,0.09,15,15,0.78133333333333332,0.7366917078594134
0,0.09,17,15,0.78133333333333332,0.75439494897068737
0,0.09,19,15,0.78266666666666662,0.74192623447075168
1,0.09,1,15,0.38400000000000001,0.5
1,0.09,3,15,0.75600000000000001,0.69903121270272972
1,0.09,5,15,0.79600000000000004,0.72721839926206133
1,0.09,7,15,0.77733333333333332,0.72343496210954328
1,0.09,9,15,0.80000000000000004,0.73462574199973607
1,0.09,11,15,0.78400000000000003,0.73323618206696539
1,0.09,13,15,0.80133333333333334,0.73621031152136907
1,0.09,15,15,0.78800000000000003,0.73721462880834565
1,0.09,17,15,0.80266666666666664,0.73754062525369102
1,0.09,19,15,0.78800000000000003,0.73745639014207143
2,0.09,1,15,0.38666666666666666,0.5
2,0.09,3,15,0.71466666666666667,0.72566471747127748
2,0.09,5,15,0.70666666666666667,0.72973231983871101
2,0.09,7,15,0.71199999999999997,0.7338598956065191
2,0.09,9,15,0.71466666666666667,0.73255525794644927
2,0.09,11,15,0.71199999999999997,0.7338598956065191
2,0.09,13,15,0.71733333333333338,0.73844267756964099
2,0.09,15,15,0.70799999999999996,0.72686222363730302
2,0.09,17,15,0.71599999999999997,0.73736505114680106
2,0.09,19,15,0.71066666666666667,0.72928456506124573
3,0.09,1,15,0.38800000000000001,0.5
3,0.09,3,15,0.74399999999999999,0.72043133007213844
3,0.09,5,15,0.77866666666666662,0.7557047447296158
3,0.09,7,15,0.752,0.73366913624845387
3,0.09,9,15,0.78000000000000003,0.75680206732646338
3,0.09,11,15,0.7533333333333333,0.73863067337314658
3,0.09,13,15,0.78000000000000003,0.75706084966748166
3,0.09,15,15,0.7533333333333333,0.7388622421913974
3,0.09,17,15,0.77866666666666662,0.75597935065663835
3,0.09,19,15,0.7506666666666667,0.7364518517654558
4,0.09,1,15,0.38800000000000001,0.5
4,0.09,3,15,0.76266666666666671,0.73085377407031604
4,0.09,5,15,0.79866666666666664,0.77872015944431572
4,0.09,7,15,0.78266666666666662,0.75205576437447375
4,0.09,9,15,0.80133333333333334,0.77366687101389708
4,0.09,11,15,0.79600000000000004,0.76319475610170073
4,0.09,13,15,0.80400000000000005,0.78302957933681083
4,0.09,15,15,0.79600000000000004,0.76295180370188553
4,0.09,17,15,0.80400000000000005,0.78302957933681083
4,0.09,19,15,0.79866666666666664,0.76513101156736785
