fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.64468864468864473,0.5
0,0.09,3,15,0.96153846153846156,0.9597586691658857
0,0.09,5,15,0.97252747252747251,0.97522258669165884
0,0.09,7,15,0.96886446886446886,0.97006794751640113
0,0.09,9,15,0.97252747252747251,0.97406572164948457
0,0.09,11,15,0.97435897435897434,0.97432931115276478
0,0.09,13,15,0.97252747252747251,0.97175199156513592
0,0.09,15,15,0.97435897435897434,0.97317244611059039
0,0.09,17,15,0.96886446886446886,0.96659735238987821
0,0.09,19,15,0.97619047619047616,0.97690663074039363
1,0.09,1,15,0.63919413919413914,0.5
1,0.09,3,15,0.96703296703296704,0.96647419021715408
1,0.09,5,15,0.96703296703296704,0.96979040914578274
1,0.09,7,15,0.96153846153846156,0.95996538332872738
1,0.09,9,15,0.96703296703296704,0.96868500283623993
1,0.09,11,15,0.96886446886446886,0.96790685497360118
1,0.09,13,15,0.96336996336996339,0.96250345439471729
1,0.09,15,15,0.96886446886446886,0.96790685497360118
1,0.09,17,15,0.96520146520146521,0.96504152546070721
1,0.09,19,15,0.97252747252747251,0.9740884034151237
2,0.09,1,15,0.6575091575091575,0.5
2,0.09,3,15,0.97252747252747251,0.97270343944110937
2,0.09,5,15,0.97802197802197799,0.98072482981544096
2,0.09,7,15,0.97435897435897434,0.97281515796999984
2,0.09,9,15,0.97619047619047616,0.9780510330239971
2,0.09,11,15,0.97619047619047616,0.9780510330239971
2,0.09,13,15,0.97802197802197799,0.97944379068416432
2,0.09,15,15,0.97252747252747251,0.97270343944110937
2,0.09,17,15,0.97435897435897434,0.97281515796999984
2,0.09,19,15,0.97619047619047616,0.97676999389272046
3,0.09,1,15,0.65630712979890315,0.5
3,0.09,3,15,0.97257769652650827,0.97404136786582107
3,0.09,5,15,0.97440585009140768,0.97670094233390625
3,0.09,7,15,0.97623400365630708,0.97936051680199143
3,0.09,9,15,0.97623400365630708,0.97936051680199143
3,0.09,11,15,0.9780621572212066,0.9820200912700765
3,0.09,13,15,0.97623400365630708,0.97936051680199143
3,0.09,15,15,0.9780621572212066,0.98075327446215854
3,0.09,17,15,0.979890310786106,0.98341284893024361
3,0.09,19,15,0.9780621572212066,0.98075327446215854
4,0.09,1,15,0.65265082266910424,0.5
4,0.09,3,15,0.97074954296160876,0.97143594279817191
4,0.09,5,15,0.96892138939670935,0.97372843874391868
4,0.09,7,15,0.96892138939670935,0.96880436385080348
4,0.09,9,15,0.97074954296160876,0.9738979802447294
4,0.09,11,15,0.96709323583180984,0.96863482234999265
4,0.09,13,15,0.97074954296160876,0.97143594279817191
4,0.09,15,15,0.97257769652650827,0.97283650302226155
4,0.09,17,15,0.97074954296160876,0.97266696152145071
4,0.09,19,15,0.97257769652650827,0.97529854046881903
