fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.3534201954397394,0.5
0,0.09,3,15,0.57328990228013033,0.65226526134952234
0,0.09,5,15,0.62377850162866455,0.68295046953534
0,0.09,7,15,0.63517915309446249,0.67818546936122304
0,0.09,9,15,0.65309446254071657,0.68890526877851166
0,0.09,11,15,0.64169381107491852,0.65606101057470201
0,0.09,13,15,0.66938110749185664,0.70567853370323508
0,0.09,15,15,0.64657980456026054,0.68491218702480583
0,0.09,17,15,0.64332247557003253,0.68761680344519382
0,0.09,19,15,0.64332247557003253,0.68657210182358475
1,0.09,1,15,0.35830618892508143,0.5
1,0.09,3,15,0.73941368078175895,0.7056183664051684
1,0.09,5,15,0.68403908794788271,0.72670742962621138
1,0.09,7,15,0.75570032573289903,0.74942316566682043
1,0.09,9,15,0.75895765472312704,0.73690586063682506
1,0.09,11,15,0.72964169381107491,0.74718504845408396
1,0.09,13,15,0.75895765472312704,0.74794646977388091
1,0.09,15,15,0.72312703583061888,0.72203507152745727
1,0.09,17,15,0.75570032573289903,0.74440470696815875
1,0.09,19,15,0.73778501628664495,0.74349330872173514
2,0.09,1,15,0.33713355048859933,0.5
2,0.09,3,15,0.38762214983713356,0.5345226649574476
2,0.09,5,15,0.6368078175895765,0.68093983311374617
2,0.09,7,15,0.69055374592833874,0.72266733136298356
2,0.09,9,15,0.69218241042345274,0.72745670571757537
2,0.09,11,15,0.68892508143322473,0.71787795700839174
2,0.09,13,15,0.6824104234527687,0.70821612125959954
2,0.09,15,15,0.66775244299674263,0.70428135645526946
2,0.09,17,15,0.69706840390879476,0.72639437856829159
2,0.09,19,15,0.68403908794788271,0.73437073437073441
3,0.09,1,15,0.33821138211382112,0.5
3,0.09,3,15,0.65528455284552845,0.70429739179739181
3,0.09,5,15,0.70894308943089435,0.70487620487620495
3,0.09,7,15,0.71382113821138216,0.73089326214326211
3,0.09,9,15,0.72520325203252034,0.73831742581742588
3,0.09,11,15,0.72357723577235777,0.74884237384237384
3,0.09,13,15,0.72682926829268291,0.74542265167265165
3,0.09,15,15,0.7056910569105691,0.72004937629937626
3,0.09,17,15,0.7219512195121951,0.74291249291249284
3,0.09,19,15,0.69756097560975605,0.73036169911169913
4,0.09,1,15,0.35772357723577236,0.5
4,0.09,3,15,0.62601626016260159,0.67865362485615655
4,0.09,5,15,0.69430894308943092,0.72074223245109326
4,0.09,7,15,0.69268292682926824,0.71846950517836594
4,0.09,9,15,0.71544715447154472,0.73216340621403919
4,0.09,11,15,0.68617886178861787,0.7184407364787111
4,0.09,13,15,0.72520325203252034,0.7437859608745685
4,0.09,15,15,0.72032520325203253,0.73797468354430384
4,0.09,17,15,0.70406504065040654,0.735385500575374
4,0.09,19,15,0.66991869918699187,0.69470655926352132
