fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.71499999999999997,0.5
0,0.09,3,15,0.70250000000000001,0.6587535271745798
0,0.09,5,15,0.72375,0.66701938412464723
0,0.09,7,15,0.73624999999999996,0.64410808489755866
0,0.09,9,15,0.745,0.64495153968838181
0,0.09,11,15,0.71499999999999997,0.68200220831799774
0,0.09,13,15,0.71999999999999997,0.6564838670101828
0,0.09,15,15,0.72375,0.6169028340080972
0,0.09,17,15,0.6925,0.59504968715495032
0,0.09,19,15,0.75624999999999998,0.66468838179364498
1,0.09,1,15,0.70499999999999996,0.5
1,0.09,3,15,0.54749999999999999,0.63595384060584204
1,0.09,5,15,0.625,0.67120447169130903
1,0.09,7,15,0.68125000000000002,0.69877689626156991
1,0.09,9,15,0.68374999999999997,0.70547842288736629
1,0.09,11,15,0.49875000000000003,0.60507573025604044
1,0.09,13,15,0.59999999999999998,0.66702728693352564
1,0.09,15,15,0.61499999999999999,0.66904075009015507
1,0.09,17,15,0.60375000000000001,0.67461533838201704
1,0.09,19,15,0.61124999999999996,0.67254177184757791
2,0.09,1,15,0.6875,0.5
2,0.09,3,15,0.73499999999999999,0.67309090909090907
2,0.09,5,15,0.67500000000000004,0.61854545454545451
2,0.09,7,15,0.62875000000000003,0.58490909090909093
2,0.09,9,15,0.61624999999999996,0.60090909090909095
2,0.09,11,15,0.73875000000000002,0.64418181818181819
2,0.09,13,15,0.66500000000000004,0.58945454545454545
2,0.09,15,15,0.66249999999999998,0.65636363636363637
2,0.09,17,15,0.68374999999999997,0.71545454545454545
2,0.09,19,15,0.67125000000000001,0.69545454545454544
3,0.09,1,15,0.69874999999999998,0.5
3,0.09,3,15,0.50375000000000003,0.58825035815289606
3,0.09,5,15,0.495,0.62211714754414738
3,0.09,7,15,0.63624999999999998,0.6193298643843852
3,0.09,9,15,0.66500000000000004,0.68003028526043097
3,0.09,11,15,0.56000000000000005,0.62496010213852538
3,0.09,13,15,0.63624999999999998,0.67126017859396225
3,0.09,15,15,0.69625000000000004,0.71301375455577909
3,0.09,17,15,0.60750000000000004,0.6695714784106177
3,0.09,19,15,0.66625000000000001,0.68918638054023562
4,0.09,1,15,0.69374999999999998,0.5
4,0.09,3,15,0.45250000000000001,0.58146718146718146
4,0.09,5,15,0.54500000000000004,0.59341790770362191
4,0.09,7,15,0.57874999999999999,0.63028130170987318
4,0.09,9,15,0.55125000000000002,0.61844088986946133
4,0.09,11,15,0.63124999999999998,0.68749770178341607
4,0.09,13,15,0.51249999999999996,0.58367346938775511
4,0.09,15,15,0.64875000000000005,0.68871116013973155
4,0.09,17,15,0.54125000000000001,0.58273579702151135
4,0.09,19,15,0.54749999999999999,0.59179996322853468
