fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.57291666666666663,0.5
0,0.09,3,15,0.63541666666666663,0.63539278341643524
0,0.09,5,15,0.65104166666666663,0.65257672403271905
0,0.09,7,15,0.66666666666666663,0.67086767594427232
0,0.09,9,15,0.66145833333333337,0.66657091301212124
0,0.09,11,15,0.640625,0.64421026950431548
0,0.09,13,15,0.65625,0.66032096909967486
0,0.09,15,15,0.66666666666666663,0.67184426643442008
0,0.09,17,15,0.640625,0.64344555888691224
0,0.09,19,15,0.65104166666666663,0.65581232629477937
1,0.09,1,15,0.59895833333333337,0.5
1,0.09,3,15,0.609375,0.60718679680335674
1,0.09,5,15,0.65104166666666663,0.65712667375431721
1,0.09,7,15,0.66666666666666663,0.67547871424234052
1,0.09,9,15,0.625,0.63652617888246488
1,0.09,11,15,0.65625,0.66733873636706109
1,0.09,13,15,0.65104166666666663,0.66048647377840208
1,0.09,15,15,0.625,0.63652617888246488
1,0.09,17,15,0.66145833333333337,0.67288981524610125
1,0.09,19,15,0.64583333333333337,0.65730539966168566
2,0.09,1,15,0.61979166666666663,0.5
2,0.09,3,15,0.6875,0.63936764512684185
2,0.09,5,15,0.625,0.58464893125780115
2,0.09,7,15,0.65104166666666663,0.61003356609174764
2,0.09,9,15,0.63541666666666663,0.59534055991633295
2,0.09,11,15,0.63020833333333337,0.58973684745682853
2,0.09,13,15,0.65104166666666663,0.61003356609174764
2,0.09,15,15,0.640625,0.60052064613521761
2,0.09,17,15,0.640625,0.6007461379893243
2,0.09,19,15,0.640625,0.60052064613521761
3,0.09,1,15,0.61979166666666663,0.5
3,0.09,3,15,0.66145833333333337,0.58669346244415044
3,0.09,5,15,0.703125,0.67703188953550042
3,0.09,7,15,0.71875,0.69466784387572567
3,0.09,9,15,0.70833333333333337,0.67996868037690261
3,0.09,11,15,0.71875,0.69538039124419548
3,0.09,13,15,0.72395833333333337,0.70547515527902627
3,0.09,15,15,0.71354166666666663,0.68982754297549131
3,0.09,17,15,0.71875,0.69538039124419548
3,0.09,19,15,0.72395833333333337,0.70547515527902627
4,0.09,1,15,0.609375,0.5
4,0.09,3,15,0.67708333333333337,0.62599835560075923
4,0.09,5,15,0.67708333333333337,0.63452590044119717
4,0.09,7,15,0.69791666666666663,0.65046579107596292
4,0.09,9,15,0.69791666666666663,0.6544659133104086
4,0.09,11,15,0.67708333333333337,0.63355396362487404
4,0.09,13,15,0.703125,0.65872196391546911
4,0.09,15,15,0.69791666666666663,0.65359957667674529
4,0.09,17,15,0.67708333333333337,0.63312079530804233
4,0.09,19,15,0.703125,0.65872196391546911
