fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.45370370370370372,0.5
0,0.09,3,15,0.79166666666666663,0.79375648564510559
0,0.09,5,15,0.76851851851851849,0.76824628156347285
0,0.09,7,15,0.80092592592592593,0.80482531995849182
0,0.09,9,15,0.77314814814814814,0.77940159114493257
0,0.09,11,15,0.7592592592592593,0.76323071601521963
0,0.09,13,15,0.78240740740740744,0.78787616741611899
0,0.09,15,15,0.81481481481481477,0.81494292632307164
0,0.09,17,15,0.77314814814814814,0.77507782774126599
0,0.09,19,15,0.77314814814814814,0.77594258042199926
1,0.09,1,15,0.41203703703703703,0.5
1,0.09,3,15,0.77777777777777779,0.75891356277094579
1,0.09,5,15,0.82407407407407407,0.82013624701406695
1,0.09,7,15,0.81018518518518523,0.81673007166239042
1,0.09,9,15,0.81944444444444442,0.82628505706449618
1,0.09,11,15,0.79166666666666663,0.78921525258780856
1,0.09,13,15,0.82870370370370372,0.82911616385030529
1,0.09,15,15,0.81481481481481477,0.8072193223038131
1,0.09,17,15,0.81018518518518523,0.80832522339201973
1,0.09,19,15,0.78240740740740744,0.78134123683977708
2,0.09,1,15,0.43981481481481483,0.5
2,0.09,3,15,0.81944444444444442,0.81056981296215747
2,0.09,5,15,0.83333333333333337,0.82749021313614612
2,0.09,7,15,0.80092592592592593,0.79064810787298823
2,0.09,9,15,0.80092592592592593,0.79290996085254462
2,0.09,11,15,0.82407407407407407,0.82035667681600699
2,0.09,13,15,0.76388888888888884,0.75080469769464986
2,0.09,15,15,0.84259259259259256,0.83575467594606345
2,0.09,17,15,0.81018518518518523,0.80230535015224014
2,0.09,19,15,0.82407407407407407,0.81696389734667241
3,0.09,1,15,0.47222222222222221,0.5
3,0.09,3,15,0.81481481481481477,0.8173374613003096
3,0.09,5,15,0.81018518518518523,0.81346749226006199
3,0.09,7,15,0.83333333333333337,0.83436532507739936
3,0.09,9,15,0.79629629629629628,0.79824561403508776
3,0.09,11,15,0.79629629629629628,0.80082559339525283
3,0.09,13,15,0.77314814814814814,0.77786377708978338
3,0.09,15,15,0.79629629629629628,0.79721362229102166
3,0.09,17,15,0.78240740740740744,0.78818369453044379
3,0.09,19,15,0.80555555555555558,0.80598555211558309
4,0.09,1,15,0.44444444444444442,0.5
4,0.09,3,15,0.79629629629629628,0.7895833333333333
4,0.09,5,15,0.80555555555555558,0.79791666666666661
4,0.09,7,15,0.77777777777777779,0.76770833333333333
4,0.09,9,15,0.79166666666666663,0.77916666666666667
4,0.09,11,15,0.78240740740740744,0.765625
4,0.09,13,15,0.81018518518518523,0.80104166666666665
4,0.09,15,15,0.72685185185185186,0.71458333333333335
4,0.09,17,15,0.84722222222222221,0.84270833333333339
4,0.09,19,15,0.78240740740740744,0.7729166666666667
