fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.6428571428571429,0.5
0,0.09,3,15,0.58214285714285718,0.67277777777777781
0,0.09,5,15,0.625,0.69722222222222219
0,0.09,7,15,0.6071428571428571,0.68777777777777782
0,0.09,9,15,0.59285714285714286,0.67666666666666664
0,0.09,11,15,0.63571428571428568,0.7122222222222222
0,0.09,13,15,0.62857142857142856,0.70666666666666667
0,0.09,15,15,0.65000000000000002,0.72333333333333338
0,0.09,17,15,0.65000000000000002,0.72111111111111104
0,0.09,19,15,0.54642857142857137,0.64055555555555554
1,0.09,1,15,0.63701067615658358,0.5
1,0.09,3,15,0.70106761565836295,0.73162449337276803
1,0.09,5,15,0.6512455516014235,0.713604995070654
1,0.09,7,15,0.66903914590747326,0.70859349326322707
1,0.09,9,15,0.67615658362989328,0.69941943257750028
1,0.09,11,15,0.66548042704626331,0.68260488552963083
1,0.09,13,15,0.65836298932384341,0.68123562274071636
1,0.09,15,15,0.6512455516014235,0.679866359951802
1,0.09,17,15,0.65480427046263345,0.67211633256654624
1,0.09,19,15,0.66548042704626331,0.7100175265636981
2,0.09,1,15,0.63345195729537362,0.5
2,0.09,3,15,0.62277580071174377,0.69406567033926037
2,0.09,5,15,0.68327402135231319,0.7193192974800916
2,0.09,7,15,0.67259786476868333,0.72111923202792627
2,0.09,9,15,0.67971530249110323,0.72673720955601617
2,0.09,11,15,0.67615658362989328,0.7259736009599651
2,0.09,13,15,0.69395017793594305,0.73797316461219586
2,0.09,15,15,0.697508896797153,0.73260063270426534
2,0.09,17,15,0.72241992882562278,0.76658121522853717
2,0.09,19,15,0.70818505338078297,0.73080069815643067
3,0.09,1,15,0.64768683274021355,0.5
3,0.09,3,15,0.79359430604982206,0.81532356532356531
3,0.09,5,15,0.75800711743772242,0.79245754245754241
3,0.09,7,15,0.80427046263345192,0.81435231435231437
3,0.09,9,15,0.79715302491103202,0.81346431346431347
3,0.09,11,15,0.74733096085409256,0.77269952269952269
3,0.09,13,15,0.8291814946619217,0.84509934509934515
3,0.09,15,15,0.80427046263345192,0.81435231435231437
3,0.09,17,15,0.81850533807829184,0.83455433455433448
3,0.09,19,15,0.8220640569395018,0.82578532578532582
4,0.09,1,15,0.64412811387900359,0.5
4,0.09,3,15,0.66903914590747326,0.73190607734806634
4,0.09,5,15,0.72241992882562278,0.76662983425414366
4,0.09,7,15,0.73309608540925264,0.76820441988950283
4,0.09,9,15,0.66903914590747326,0.72519337016574581
4,0.09,11,15,0.71530249110320288,0.75215469613259667
4,0.09,13,15,0.70106761565836295,0.75005524861878459
4,0.09,15,15,0.71886120996441283,0.74820441988950281
4,0.09,17,15,0.697508896797153,0.74505524861878447
4,0.09,19,15,0.77224199288256223,0.80082872928176796
