fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.55555555555555558,0.5
0,0.09,3,15,0.96666666666666667,0.96295146872810544
0,0.09,5,15,0.94999999999999996,0.94390526033658251
0,0.09,7,15,0.92777777777777781,0.92146799142948055
0,0.09,9,15,0.93333333333333335,0.92642488021178648
0,0.09,11,15,0.9555555555555556,0.95094992014119095
0,0.09,13,15,0.94999999999999996,0.94494914584773371
0,0.09,15,15,0.94999999999999996,0.94547108860330942
0,0.09,17,15,0.94444444444444442,0.93894837155427657
0,0.09,19,15,0.9555555555555556,0.95094992014119095
1,0.09,1,15,0.56666666666666665,0.5
1,0.09,3,15,0.98333333333333328,0.98100664767331436
1,0.09,5,15,0.94444444444444442,0.93653054764165888
1,0.09,7,15,0.96666666666666667,0.96201329534662872
1,0.09,9,15,0.96666666666666667,0.96201329534662872
1,0.09,11,15,0.96666666666666667,0.96201329534662872
1,0.09,13,15,0.97777777777777775,0.97467553023108577
1,0.09,15,15,0.96111111111111114,0.95568217790440002
1,0.09,17,15,0.97222222222222221,0.96834441278885708
1,0.09,19,15,0.97777777777777775,0.97467553023108577
2,0.09,1,15,0.5444444444444444,0.5
2,0.09,3,15,0.9555555555555556,0.95060203766594631
2,0.09,5,15,0.93888888888888888,0.93207780179067612
2,0.09,7,15,0.89444444444444449,0.88267983945662243
2,0.09,9,15,0.92777777777777781,0.9197283112071627
2,0.09,11,15,0.93333333333333335,0.92590305649891935
2,0.09,13,15,0.94444444444444442,0.93825254708243289
2,0.09,15,15,0.93888888888888888,0.93207780179067612
2,0.09,17,15,0.94999999999999996,0.94442729237418954
2,0.09,19,15,0.93333333333333335,0.92590305649891935
3,0.09,1,15,0.55555555555555558,0.5
3,0.09,3,15,0.98888888888888893,0.987233582170291
3,0.09,5,15,0.90555555555555556,0.8920065586389212
3,0.09,7,15,0.90555555555555556,0.8920065586389212
3,0.09,9,15,0.93333333333333335,0.92366204811746988
3,0.09,11,15,0.92777777777777781,0.91753939429833908
3,0.09,13,15,0.94444444444444442,0.93668902104290253
3,0.09,15,15,0.92777777777777781,0.91753939429833908
3,0.09,17,15,0.93333333333333335,0.92392260321319364
3,0.09,19,15,0.92777777777777781,0.91753939429833908
4,0.09,1,15,0.55555555555555558,0.5
4,0.09,3,15,0.94444444444444442,0.93409493885817785
4,0.09,5,15,0.9555555555555556,0.94900296329268041
4,0.09,7,15,0.91111111111111109,0.89879093213360528
4,0.09,9,15,0.93888888888888888,0.92899594328566026
4,0.09,11,15,0.96111111111111114,0.95488696441344256
4,0.09,13,15,0.94999999999999996,0.94390396772016272
4,0.09,15,15,0.94999999999999996,0.94233395662367359
4,0.09,17,15,0.96666666666666667,0.96155597108244917
4,0.09,19,15,0.96666666666666667,0.96234097663069351
