fold,radius,grain,limit,accuracy,bac
0,0.09,1,15,0.6216216216216216,0.5
0,0.09,3,15,0.98648648648648651,0.97395833333333348
0,0.09,5,15,1.0,1.0
0,0.09,7,15,0.98648648648648651,0.97470238095238093
0,0.09,9,15,1.0,1.0
0,0.09,11,15,1.0,1.0
0,0.09,13,15,0.98648648648648651,0.97395833333333348
0,0.09,15,15,0.98648648648648651,0.9809027777777779
0,0.09,17,15,0.98648648648648651,0.97395833333333348
0,0.09,19,15,1.0,1.0
1,0.09,1,15,0.59459459459459463,0.5
1,0.09,3,15,0.8783783783783784,0.89339717741935487
1,0.09,5,15,0.82432432432432434,0.84601814516129026
1,0.09,7,15,0.86486486486486491,0.88155241935483875
1,0.09,9,15,0.79729729729729726,0.81174635176651311
1,0.09,11,15,0.85135135135135132,0.86970766129032251
1,0.09,13,15,0.78378378378378377,0.79039458525345618
1,0.09,15,15,0.82432432432432434,0.84601814516129026
1,0.09,17,15,0.86486486486486491,0.88155241935483875
1,0.09,19,15,0.90540540540540537,0.91708669354838712
2,0.09,1,15,0.63157894736842102,0.5
2,0.09,3,15,0.63157894736842102,0.5
2,0.09,5,15,0.63157894736842102,0.5
2,0.09,7,15,0.63157894736842102,0.5
2,0.09,9,15,0.63157894736842102,0.5
2,0.09,11,15,0.63157894736842102,0.5
2,0.09,13,15,0.63157894736842102,0.5
2,0.09,15,15,0.63157894736842102,0.5
2,0.09,17,15,0.63157894736842102,0.5
2,0.09,19,15,0.63157894736842102,0.5
3,0.09,1,15,0.60526315789473684,0.5
3,0.09,3,15,0.97368421052631582,0.9622222222222222
3,0.09,5,15,0.97368421052631582,0.96305555555555555
3,0.09,7,15,0.90789473684210531,0.86430555555555555
3,0.09,9,15,0.97368421052631582,0.9622222222222222
3,0.09,11,15,0.94736842105263153,0.9244444444444444
3,0.09,13,15,0.93421052631578949,0.90555555555555556
3,0.09,15,15,0.92105263157894735,0.88319444444444439
3,0.09,17,15,0.93421052631578949,0.90465277777777775
3,0.09,19,15,0.97368421052631582,0.9622222222222222
4,0.09,1,15,0.59210526315789469,0.5
4,0.09,3,15,0.82894736842105265,0.82750729275513757
4,0.09,5,15,0.93421052631578949,0.93966386262513901
4,0.09,7,15,0.96052631578947367,0.95838933691756267
4,0.09,9,15,0.92105263157894735,0.91316237342638207
4,0.09,11,15,0.93421052631578949,0.92449005137582729
4,0.09,13,15,0.93421052631578949,0.94077620967741937
4,0.09,15,15,0.93421052631578949,0.93938577586206895
4,0.09,17,15,0.89473684210526316,0.88839960365613868
4,0.09,19,15,0.98684210526315785,0.98815524193548387
