fold,radius,grain,limit,accuracy,bac
0,0.25,5,1,0.54710144927536231,0.58301282051282044
0,0.25,5,3,0.85688405797101452,0.86522435897435901
0,0.25,5,5,0.72282608695652173,0.72451923076923075
0,0.25,5,7,0.85144927536231885,0.84935897435897445
0,0.25,5,9,0.7373188405797102,0.74358974358974361
0,0.25,5,11,0.86594202898550721,0.87227564102564092
0,0.25,5,13,0.81159420289855078,0.82564102564102559
0,0.25,5,15,0.85688405797101452,0.86474358974358978
0,0.25,5,17,0.76992753623188404,0.77099358974358978
0,0.25,5,19,0.85688405797101452,0.86522435897435901
1,0.25,5,1,0.66123188405797106,0.65975169779286924
1,0.25,5,3,0.86594202898550721,0.87160441426146007
1,0.25,5,5,0.74456521739130432,0.74060908319185059
1,0.25,5,7,0.86594202898550721,0.87160441426146007
1,0.25,5,9,0.67572463768115942,0.65582555178268254
1,0.25,5,11,0.86594202898550721,0.87160441426146007
1,0.25,5,13,0.86594202898550721,0.87160441426146007
1,0.25,5,15,0.78804347826086951,0.78936757215619691
1,0.25,5,17,0.86775362318840576,0.87324915110356538
1,0.25,5,19,0.87137681159420288,0.87579584040747027
2,0.25,5,1,0.44565217391304346,0.46453499966761952
2,0.25,5,3,0.72644927536231885,0.72109951472445655
2,0.25,5,5,0.84420289855072461,0.85334042411752975
2,0.25,5,7,0.68297101449275366,0.67953865585322082
2,0.25,5,9,0.80434782608695654,0.80308449112544045
2,0.25,5,11,0.79528985507246375,0.79947483879545311
2,0.25,5,13,0.76449275362318836,0.75859868377318351
2,0.25,5,15,0.85869565217391308,0.85771455161869303
2,0.25,5,17,0.86413043478260865,0.87249218905803372
2,0.25,5,19,0.77717391304347827,0.76958718340756493
3,0.25,5,1,0.50724637681159424,0.49712582499467745
3,0.25,5,3,0.7373188405797102,0.73054609325101127
3,0.25,5,5,0.83876811594202894,0.84615179902065152
3,0.25,5,7,0.75362318840579712,0.7515435384287843
3,0.25,5,9,0.77898550724637683,0.77682563338301036
3,0.25,5,11,0.83876811594202894,0.84615179902065152
3,0.25,5,13,0.74637681159420288,0.75228869491164574
3,0.25,5,15,0.78804347826086951,0.79047796465829245
3,0.25,5,17,0.84420289855072461,0.85059612518628902
3,0.25,5,19,0.72826086956521741,0.72924206940600378
4,0.25,5,1,0.84963768115942029,0.85484639515029581
4,0.25,5,3,0.67572463768115942,0.67453111143465994
4,0.25,5,5,0.8623188405797102,0.86349618138740714
4,0.25,5,7,0.85507246376811596,0.85949888155021115
4,0.25,5,9,0.74094202898550721,0.74094982197456027
4,0.25,5,11,0.84963768115942029,0.85484639515029581
4,0.25,5,13,0.75905797101449279,0.76020833609085248
4,0.25,5,15,0.85869565217391308,0.85951211764238722
4,0.25,5,17,0.73550724637681164,0.73596643327024136
4,0.25,5,19,0.72463768115942029,0.72070521899114504
