fold,radius,grain,limit,accuracy,bac
0,0.01,17,1,0.73466666666666669,0.67258252594564694
0,0.01,17,3,0.76400000000000001,0.73818979591882616
0,0.01,17,5,0.76266666666666671,0.72916906683592408
0,0.01,17,7,0.77866666666666662,0.74309279976199816
0,0.01,17,9,0.77866666666666662,0.74309279976199816
0,0.01,17,11,0.77866666666666662,0.74309279976199816
0,0.01,17,13,0.77866666666666662,0.74309279976199816
0,0.01,17,15,0.77866666666666662,0.74309279976199816
0,0.01,17,17,0.77866666666666662,0.74309279976199816
0,0.01,17,19,0.77866666666666662,0.74309279976199816
1,0.01,17,1,0.73199999999999998,0.70564684178142179
1,0.01,17,3,0.7506666666666667,0.67163283159809939
1,0.01,17,5,0.78533333333333333,0.71765147489272529
1,0.01,17,7,0.80133333333333334,0.73696058443371726
1,0.01,17,9,0.80133333333333334,0.73696058443371726
1,0.01,17,11,0.80133333333333334,0.73696058443371726
1,0.01,17,13,0.80133333333333334,0.73696058443371726
1,0.01,17,15,0.80133333333333334,0.73696058443371726
1,0.01,17,17,0.80133333333333334,0.73696058443371726
1,0.01,17,19,0.80133333333333334,0.73696058443371726
2,0.01,17,1,0.70933333333333337,0.68426738147947486
2,0.01,17,3,0.68799999999999994,0.68132678377190514
2,0.01,17,5,0.73733333333333329,0.73438097287596749
2,0.01,17,7,0.74399999999999999,0.74144876345530053
2,0.01,17,9,0.74399999999999999,0.74144876345530053
2,0.01,17,11,0.74399999999999999,0.74144876345530053
2,0.01,17,13,0.74399999999999999,0.74144876345530053
2,0.01,17,15,0.74399999999999999,0.74144876345530053
2,0.01,17,17,0.74399999999999999,0.74144876345530053
2,0.01,17,19,0.74399999999999999,0.74144876345530053
3,0.01,17,1,0.76133333333333331,0.6722838568604913
3,0.01,17,3,0.7573333333333333,0.71145650493989365
3,0.01,17,5,0.79600000000000004,0.76013516988354723
3,0.01,17,7,0.79466666666666663,0.76523110288370899
3,0.01,17,9,0.79466666666666663,0.76523110288370899
3,0.01,17,11,0.79466666666666663,0.76523110288370899
3,0.01,17,13,0.79466666666666663,0.76523110288370899
3,0.01,17,15,0.79466666666666663,0.76523110288370899
3,0.01,17,17,0.79466666666666663,0.76523110288370899
3,0.01,17,19,0.79466666666666663,0.76523110288370899
4,0.01,17,1,0.748,0.70100114011689929
4,0.01,17,3,0.77066666666666672,0.72578984336793484
4,0.01,17,5,0.77733333333333332,0.74539025276572157
4,0.01,17,7,0.80133333333333334,0.77742009566621306
4,0.01,17,9,0.80133333333333334,0.77742009566621306
4,0.01,17,11,0.80133333333333334,0.77742009566621306
4,0.01,17,13,0.80133333333333334,0.77742009566621306
4,0.01,17,15,0.80133333333333334,0.77742009566621306
4,0.01,17,17,0.80133333333333334,0.77742009566621306
4,0.01,17,19,0.80133333333333334,0.77742009566621306
