fold,radius,grain,limit,accuracy,bac
0,0.19,19,1,0.64468864468864473,0.5
0,0.19,19,3,0.64468864468864473,0.5
0,0.19,19,5,0.64468864468864473,0.5
0,0.19,19,7,0.64468864468864473,0.5
0,0.19,19,9,0.64468864468864473,0.5
0,0.19,19,11,0.64468864468864473,0.5
0,0.19,19,13,0.64468864468864473,0.5
0,0.19,19,15,0.64468864468864473,0.5
0,0.19,19,17,0.64468864468864473,0.5
0,0.19,19,19,0.64468864468864473,0.5
1,0.19,19,1,0.63919413919413914,0.5
1,0.19,19,3,0.63919413919413914,0.5
1,0.19,19,5,0.63919413919413914,0.5
1,0.19,19,7,0.63919413919413914,0.5
1,0.19,19,9,0.63919413919413914,0.5
1,0.19,19,11,0.63919413919413914,0.5
1,0.19,19,13,0.63919413919413914,0.5
1,0.19,19,15,0.63919413919413914,0.5
1,0.19,19,17,0.63919413919413914,0.5
1,0.19,19,19,0.63919413919413914,0.5
2,0.19,19,1,0.6575091575091575,0.5
2,0.19,19,3,0.6575091575091575,0.5
2,0.19,19,5,0.6575091575091575,0.5
2,0.19,19,7,0.6575091575091575,0.5
2,0.19,19,9,0.6575091575091575,0.5
2,0.19,19,11,0.6575091575091575,0.5
2,0.19,19,13,0.6575091575091575,0.5
2,0.19,19,15,0.6575091575091575,0.5
2,0.19,19,17,0.6575091575091575,0.5
2,0.19,19,19,0.6575091575091575,0.5
3,0.19,19,1,0.65630712979890315,0.5
3,0.19,19,3,0.65630712979890315,0.5
3,0.19,19,5,0.65630712979890315,0.5
3,0.19,19,7,0.65630712979890315,0.5
3,0.19,19,9,0.65630712979890315,0.5
3,0.19,19,11,0.65630712979890315,0.5
3,0.19,19,13,0.65630712979890315,0.5
3,0.19,19,15,0.65630712979890315,0.5
3,0.19,19,17,0.65630712979890315,0.5
3,0.19,19,19,0.65630712979890315,0.5
4,0.19,19,1,0.65265082266910424,0.5
4,0.19,19,3,0.65265082266910424,0.5
4,0.19,19,5,0.65265082266910424,0.5
4,0.19,19,7,0.65265082266910424,0.5
4,0.19,19,9,0.65265082266910424,0.5
4,0.19,19,11,0.65265082266910424,0.5
4,0.19,19,13,0.65265082266910424,0.5
4,0.19,19,15,0.65265082266910424,0.5
4,0.19,19,17,0.65265082266910424,0.5
4,0.19,19,19,0.65265082266910424,0.5
