fold,radius,grain,limit,accuracy,bac
0,0.23,13,1,0.3534201954397394,0.5
0,0.23,13,3,0.3534201954397394,0.5
0,0.23,13,5,0.3534201954397394,0.5
0,0.23,13,7,0.3534201954397394,0.5
0,0.23,13,9,0.3534201954397394,0.5
0,0.23,13,11,0.3534201954397394,0.5
0,0.23,13,13,0.3534201954397394,0.5
0,0.23,13,15,0.3534201954397394,0.5
0,0.23,13,17,0.3534201954397394,0.5
0,0.23,13,19,0.3534201954397394,0.5
1,0.23,13,1,0.35830618892508143,0.5
1,0.23,13,3,0.35830618892508143,0.5
1,0.23,13,5,0.35830618892508143,0.5
1,0.23,13,7,0.35830618892508143,0.5
1,0.23,13,9,0.35830618892508143,0.5
1,0.23,13,11,0.35830618892508143,0.5
1,0.23,13,13,0.35830618892508143,0.5
1,0.23,13,15,0.35830618892508143,0.5
1,0.23,13,17,0.35830618892508143,0.5
1,0.23,13,19,0.35830618892508143,0.5
2,0.23,13,1,0.33713355048859933,0.5
2,0.23,13,3,0.33713355048859933,0.5
2,0.23,13,5,0.33713355048859933,0.5
2,0.23,13,7,0.33713355048859933,0.5
2,0.23,13,9,0.33713355048859933,0.5
2,0.23,13,11,0.33713355048859933,0.5
2,0.23,13,13,0.33713355048859933,0.5
2,0.23,13,15,0.33713355048859933,0.5
2,0.23,13,17,0.33713355048859933,0.5
2,0.23,13,19,0.33713355048859933,0.5
3,0.23,13,1,0.33821138211382112,0.5
3,0.23,13,3,0.33821138211382112,0.5
3,0.23,13,5,0.33821138211382112,0.5
3,0.23,13,7,0.33821138211382112,0.5
3,0.23,13,9,0.33821138211382112,0.5
3,0.23,13,11,0.33821138211382112,0.5
3,0.23,13,13,0.33821138211382112,0.5
3,0.23,13,15,0.33821138211382112,0.5
3,0.23,13,17,0.33821138211382112,0.5
3,0.23,13,19,0.33821138211382112,0.5
4,0.23,13,1,0.35772357723577236,0.5
4,0.23,13,3,0.35772357723577236,0.5
4,0.23,13,5,0.35772357723577236,0.5
4,0.23,13,7,0.35772357723577236,0.5
4,0.23,13,9,0.35772357723577236,0.5
4,0.23,13,11,0.35772357723577236,0.5
4,0.23,13,13,0.35772357723577236,0.5
4,0.23,13,15,0.35772357723577236,0.5
4,0.23,13,17,0.35772357723577236,0.5
4,0.23,13,19,0.35772357723577236,0.5
