fold,radius,grain,limit,accuracy,bac
0,0.05,15,1,0.71499999999999997,0.5
0,0.05,15,3,0.71499999999999997,0.5
0,0.05,15,5,0.71499999999999997,0.5
0,0.05,15,7,0.71499999999999997,0.5
0,0.05,15,9,0.71499999999999997,0.5
0,0.05,15,11,0.71499999999999997,0.5
0,0.05,15,13,0.71499999999999997,0.5
0,0.05,15,15,0.71499999999999997,0.5
0,0.05,15,17,0.71499999999999997,0.5
0,0.05,15,19,0.71499999999999997,0.5
1,0.05,15,1,0.70499999999999996,0.5
1,0.05,15,3,0.70499999999999996,0.5
1,0.05,15,5,0.70499999999999996,0.5
1,0.05,15,7,0.70499999999999996,0.5
1,0.05,15,9,0.70499999999999996,0.5
1,0.05,15,11,0.70499999999999996,0.5
1,0.05,15,13,0.70499999999999996,0.5
1,0.05,15,15,0.70499999999999996,0.5
1,0.05,15,17,0.70499999999999996,0.5
1,0.05,15,19,0.70499999999999996,0.5
2,0.05,15,1,0.6875,0.5
2,0.05,15,3,0.6875,0.5
2,0.05,15,5,0.6875,0.5
2,0.05,15,7,0.6875,0.5
2,0.05,15,9,0.6875,0.5
2,0.05,15,11,0.6875,0.5
2,0.05,15,13,0.6875,0.5
2,0.05,15,15,0.6875,0.5
2,0.05,15,17,0.6875,0.5
2,0.05,15,19,0.6875,0.5
3,0.05,15,1,0.69874999999999998,0.5
3,0.05,15,3,0.69874999999999998,0.5
3,0.05,15,5,0.69874999999999998,0.5
3,0.05,15,7,0.69874999999999998,0.5
3,0.05,15,9,0.69874999999999998,0.5
3,0.05,15,11,0.69874999999999998,0.5
3,0.05,15,13,0.69874999999999998,0.5
3,0.05,15,15,0.69874999999999998,0.5
3,0.05,15,17,0.69874999999999998,0.5
3,0.05,15,19,0.69874999999999998,0.5
4,0.05,15,1,0.69374999999999998,0.5
4,0.05,15,3,0.69374999999999998,0.5
4,0.05,15,5,0.69374999999999998,0.5
4,0.05,15,7,0.69374999999999998,0.5
4,0.05,15,9,0.69374999999999998,0.5
4,0.05,15,11,0.69374999999999998,0.5
4,0.05,15,13,0.69374999999999998,0.5
4,0.05,15,15,0.69374999999999998,0.5
4,0.05,15,17,0.69374999999999998,0.5
4,0.05,15,19,0.69374999999999998,0.5
