fold,radius,grain,limit,accuracy,bac
0,0.03,7,1,0.625,0.61839562748335541
0,0.03,7,3,0.65104166666666663,0.63042638434073128
0,0.03,7,5,0.65104166666666663,0.6459464277283461
0,0.03,7,7,0.66666666666666663,0.67086767594427232
0,0.03,7,9,0.66666666666666663,0.67086767594427232
0,0.03,7,11,0.66666666666666663,0.67086767594427232
0,0.03,7,13,0.66666666666666663,0.67086767594427232
0,0.03,7,15,0.66666666666666663,0.67086767594427232
0,0.03,7,17,0.66666666666666663,0.67086767594427232
0,0.03,7,19,0.66666666666666663,0.67086767594427232
1,0.03,7,1,0.59375,0.57737253818168488
1,0.03,7,3,0.66666666666666663,0.67587763866404027
1,0.03,7,5,0.671875,0.66790965248463008
1,0.03,7,7,0.67708333333333337,0.68421086723809721
1,0.03,7,9,0.67708333333333337,0.68421086723809721
1,0.03,7,11,0.67708333333333337,0.68421086723809721
1,0.03,7,13,0.67708333333333337,0.68421086723809721
1,0.03,7,15,0.67708333333333337,0.68421086723809721
1,0.03,7,17,0.67708333333333337,0.68421086723809721
1,0.03,7,19,0.67708333333333337,0.68421086723809721
2,0.03,7,1,0.58854166666666663,0.52378056580731913
2,0.03,7,3,0.72395833333333337,0.68777514704605835
2,0.03,7,5,0.67708333333333337,0.63519166799951565
2,0.03,7,7,0.65104166666666663,0.60960993985112788
2,0.03,7,9,0.65104166666666663,0.60960993985112788
2,0.03,7,11,0.65104166666666663,0.60960993985112788
2,0.03,7,13,0.65104166666666663,0.60960993985112788
2,0.03,7,15,0.65104166666666663,0.60960993985112788
2,0.03,7,17,0.65104166666666663,0.60960993985112788
2,0.03,7,19,0.65104166666666663,0.60960993985112788
3,0.03,7,1,0.71354166666666663,0.67441284729153617
3,0.03,7,3,0.703125,0.67106003597269004
3,0.03,7,5,0.71875,0.69454924101739657
3,0.03,7,7,0.72395833333333337,0.69927047395005371
3,0.03,7,9,0.72395833333333337,0.69927047395005371
3,0.03,7,11,0.72395833333333337,0.69927047395005371
3,0.03,7,13,0.72395833333333337,0.69927047395005371
3,0.03,7,15,0.72395833333333337,0.69927047395005371
3,0.03,7,17,0.72395833333333337,0.69927047395005371
3,0.03,7,19,0.72395833333333337,0.69927047395005371
4,0.03,7,1,0.71354166666666663,0.65950627950635743
4,0.03,7,3,0.61458333333333337,0.56988590106390091
4,0.03,7,5,0.703125,0.65678382434679528
4,0.03,7,7,0.69791666666666663,0.65046579107596292
4,0.03,7,9,0.69791666666666663,0.65046579107596292
4,0.03,7,11,0.69791666666666663,0.65046579107596292
4,0.03,7,13,0.69791666666666663,0.65046579107596292
4,0.03,7,15,0.69791666666666663,0.65046579107596292
4,0.03,7,17,0.69791666666666663,0.65046579107596292
4,0.03,7,19,0.69791666666666663,0.65046579107596292
