fold,radius,grain,limit,accuracy,bac
0,0.21,5,1,0.45370370370370372,0.5
0,0.21,5,3,0.45370370370370372,0.5
0,0.21,5,5,0.45370370370370372,0.5
0,0.21,5,7,0.45370370370370372,0.5
0,0.21,5,9,0.45370370370370372,0.5
0,0.21,5,11,0.45370370370370372,0.5
0,0.21,5,13,0.45370370370370372,0.5
0,0.21,5,15,0.45370370370370372,0.5
0,0.21,5,17,0.45370370370370372,0.5
0,0.21,5,19,0.45370370370370372,0.5
1,0.21,5,1,0.41203703703703703,0.5
1,0.21,5,3,0.41203703703703703,0.5
1,0.21,5,5,0.41203703703703703,0.5
1,0.21,5,7,0.41203703703703703,0.5
1,0.21,5,9,0.41203703703703703,0.5
1,0.21,5,11,0.41203703703703703,0.5
1,0.21,5,13,0.41203703703703703,0.5
1,0.21,5,15,0.41203703703703703,0.5
1,0.21,5,17,0.41203703703703703,0.5
1,0.21,5,19,0.41203703703703703,0.5
2,0.21,5,1,0.43981481481481483,0.5
2,0.21,5,3,0.43981481481481483,0.5
2,0.21,5,5,0.43981481481481483,0.5
2,0.21,5,7,0.43981481481481483,0.5
2,0.21,5,9,0.43981481481481483,0.5
2,0.21,5,11,0.43981481481481483,0.5
2,0.21,5,13,0.43981481481481483,0.5
2,0.21,5,15,0.43981481481481483,0.5
2,0.21,5,17,0.43981481481481483,0.5
2,0.21,5,19,0.43981481481481483,0.5
3,0.21,5,1,0.47222222222222221,0.5
3,0.21,5,3,0.47222222222222221,0.5
3,0.21,5,5,0.47222222222222221,0.5
3,0.21,5,7,0.47222222222222221,0.5
3,0.21,5,9,0.47222222222222221,0.5
3,0.21,5,11,0.47222222222222221,0.5
3,0.21,5,13,0.47222222222222221,0.5
3,0.21,5,15,0.47222222222222221,0.5
3,0.21,5,17,0.47222222222222221,0.5
3,0.21,5,19,0.47222222222222221,0.5
4,0.21,5,1,0.44444444444444442,0.5
4,0.21,5,3,0.44444444444444442,0.5
4,0.21,5,5,0.44444444444444442,0.5
4,0.21,5,7,0.44444444444444442,0.5
4,0.21,5,9,0.44444444444444442,0.5
4,0.21,5,11,0.44444444444444442,0.5
4,0.21,5,13,0.44444444444444442,0.5
4,0.21,5,15,0.44444444444444442,0.5
4,0.21,5,17,0.44444444444444442,0.5
4,0.21,5,19,0.44444444444444442,0.5
