fold,radius,grain,limit,accuracy,bac
0,0.15,3,1,0.55555555555555558,0.5
0,0.15,3,3,0.55555555555555558,0.5
0,0.15,3,5,0.55555555555555558,0.5
0,0.15,3,7,0.55555555555555558,0.5
0,0.15,3,9,0.55555555555555558,0.5
0,0.15,3,11,0.55555555555555558,0.5
0,0.15,3,13,0.55555555555555558,0.5
0,0.15,3,15,0.55555555555555558,0.5
0,0.15,3,17,0.55555555555555558,0.5
0,0.15,3,19,0.55555555555555558,0.5
1,0.15,3,1,0.56666666666666665,0.5
1,0.15,3,3,0.56666666666666665,0.5
1,0.15,3,5,0.56666666666666665,0.5
1,0.15,3,7,0.56666666666666665,0.5
1,0.15,3,9,0.56666666666666665,0.5
1,0.15,3,11,0.56666666666666665,0.5
1,0.15,3,13,0.56666666666666665,0.5
1,0.15,3,15,0.56666666666666665,0.5
1,0.15,3,17,0.56666666666666665,0.5
1,0.15,3,19,0.56666666666666665,0.5
2,0.15,3,1,0.5444444444444444,0.5
2,0.15,3,3,0.5444444444444444,0.5
2,0.15,3,5,0.5444444444444444,0.5
2,0.15,3,7,0.5444444444444444,0.5
2,0.15,3,9,0.5444444444444444,0.5
2,0.15,3,11,0.5444444444444444,0.5
2,0.15,3,13,0.5444444444444444,0.5
2,0.15,3,15,0.5444444444444444,0.5
2,0.15,3,17,0.5444444444444444,0.5
2,0.15,3,19,0.5444444444444444,0.5
3,0.15,3,1,0.55555555555555558,0.5
3,0.15,3,3,0.55555555555555558,0.5
3,0.15,3,5,0.55555555555555558,0.5
3,0.15,3,7,0.55555555555555558,0.5
3,0.15,3,9,0.55555555555555558,0.5
3,0.15,3,11,0.55555555555555558,0.5
3,0.15,3,13,0.55555555555555558,0.5
3,0.15,3,15,0.55555555555555558,0.5
3,0.15,3,17,0.55555555555555558,0.5
3,0.15,3,19,0.55555555555555558,0.5
4,0.15,3,1,0.55555555555555558,0.5
4,0.15,3,3,0.55555555555555558,0.5
4,0.15,3,5,0.55555555555555558,0.5
4,0.15,3,7,0.55555555555555558,0.5
4,0.15,3,9,0.55555555555555558,0.5
4,0.15,3,11,0.55555555555555558,0.5
4,0.15,3,13,0.55555555555555558,0.5
4,0.15,3,15,0.55555555555555558,0.5
4,0.15,3,17,0.55555555555555558,0.5
4,0.15,3,19,0.55555555555555558,0.5
