fold,radius,grain,limit,accuracy,bac
0,0.09,19,1,0.98648648648648651,0.97395833333333348
0,0.09,19,3,0.71621621621621623,0.59329520166213712
0,0.09,19,5,0.86486486486486491,0.81349206349206349
0,0.09,19,7,0.97297297297297303,0.94940476190476186
0,0.09,19,9,1.0,1.0
0,0.09,19,11,1.0,1.0
0,0.09,19,13,0.98648648648648651,0.97395833333333348
0,0.09,19,15,0.98648648648648651,0.9809027777777779
0,0.09,19,17,0.98648648648648651,0.97395833333333348
0,0.09,19,19,1.0,1.0
1,0.09,19,1,0.72972972972972971,0.66917002688172045
1,0.09,19,3,0.7432432432432432,0.74873122914349277
1,0.09,19,5,0.78378378378378377,0.7925355222734255
1,0.09,19,7,0.83783783783783783,0.83777361751152069
1,0.09,19,9,0.7432432432432432,0.73436779953917042
1,0.09,19,11,0.85135135135135132,0.86970766129032251
1,0.09,19,13,0.81081081081081086,0.82412874423963134
1,0.09,19,15,0.82432432432432434,0.84601814516129026
1,0.09,19,17,0.83783783783783783,0.85786290322580649
1,0.09,19,19,0.86486486486486491,0.88155241935483875
2,0.09,19,1,0.63157894736842102,0.5
2,0.09,19,3,0.63157894736842102,0.5
2,0.09,19,5,0.63157894736842102,0.5
2,0.09,19,7,0.63157894736842102,0.5
2,0.09,19,9,0.63157894736842102,0.5
2,0.09,19,11,0.63157894736842102,0.5
2,0.09,19,13,0.63157894736842102,0.5
2,0.09,19,15,0.63157894736842102,0.5
2,0.09,19,17,0.63157894736842102,0.5
2,0.09,19,19,0.63157894736842102,0.5
3,0.09,19,1,0.68421052631578949,0.58474653698791634
3,0.09,19,3,0.89473684210526316,0.86377836722664303
3,0.09,19,5,0.97368421052631582,0.96388888888888891
3,0.09,19,7,0.90789473684210531,0.86430555555555555
3,0.09,19,9,0.97368421052631582,0.9622222222222222
3,0.09,19,11,0.93421052631578949,0.90555555555555556
3,0.09,19,13,0.88157894736842102,0.84985263778367226
3,0.09,19,15,0.92105263157894735,0.88319444444444439
3,0.09,19,17,0.92105263157894735,0.8848611111111111
3,0.09,19,19,0.96052631578947367,0.94333333333333325
4,0.09,19,1,0.67105263157894735,0.61785754288274441
4,0.09,19,3,0.72368421052631582,0.71517542639970344
4,0.09,19,5,0.90789473684210531,0.90354348195525891
4,0.09,19,7,0.93421052631578949,0.91759836265884642
4,0.09,19,9,0.86842105263157898,0.85561269024665854
4,0.09,19,11,0.92105263157894735,0.90519743106819028
4,0.09,19,13,0.93421052631578949,0.93305026067122854
4,0.09,19,15,0.93421052631578949,0.93938577586206895
4,0.09,19,17,0.92105263157894735,0.90684699118549228
4,0.09,19,19,0.94736842105263153,0.9526209677419355
