fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.77536231884057971,0.78445512820512819
0,0.03,15,15,0.80072463768115942,0.80208333333333326
0,0.05,15,15,0.82789855072463769,0.83669871794871797
0,0.07,15,15,0.78079710144927539,0.78830128205128203
0,0.09,15,15,0.79710144927536231,0.79695512820512815
0,0.11,15,15,0.8623188405797102,0.86907051282051273
0,0.13,15,15,0.84782608695652173,0.85721153846153841
0,0.15,15,15,0.85688405797101452,0.86474358974358978
0,0.17,15,15,0.81521739130434778,0.81874999999999998
0,0.19,15,15,0.85688405797101452,0.86522435897435901
0,0.21,15,15,0.85507246376811596,0.86314102564102568
0,0.23,15,15,0.85688405797101452,0.86522435897435901
0,0.25,15,15,0.85507246376811596,0.86169871794871788
0,0.27,15,15,0.86050724637681164,0.86650641025641018
0,0.29,15,15,0.78442028985507251,0.79246794871794868
1,0.01,15,15,0.86775362318840576,0.87287775891341246
1,0.03,15,15,0.86594202898550721,0.87160441426146007
1,0.05,15,15,0.78079710144927539,0.78093166383701185
1,0.07,15,15,0.86956521739130432,0.87489388794567058
1,0.09,15,15,0.86594202898550721,0.87160441426146007
1,0.11,15,15,0.85326086956521741,0.85192062818336167
1,0.13,15,15,0.77898550724637683,0.77742996604414261
1,0.15,15,15,0.86594202898550721,0.87160441426146007
1,0.17,15,15,0.84420289855072461,0.84518251273344647
1,0.19,15,15,0.8623188405797102,0.86534380305602721
1,0.21,15,15,0.87137681159420288,0.87542444821731746
1,0.23,15,15,0.8188405797101449,0.8217848047538201
1,0.25,15,15,0.87137681159420288,0.86985356536502545
1,0.27,15,15,0.86594202898550721,0.87160441426146007
1,0.29,15,15,0.75181159420289856,0.76018675721561979
2,0.01,15,15,0.86413043478260865,0.87125573356378383
2,0.03,15,15,0.73007246376811596,0.72476899554610119
2,0.05,15,15,0.87681159420289856,0.87647410755833277
2,0.07,15,15,0.8623188405797102,0.86468124709167049
2,0.09,15,15,0.74456521739130432,0.74068337432692943
2,0.11,15,15,0.84782608695652173,0.85783420860200765
2,0.13,15,15,0.72644927536231885,0.72109951472445655
2,0.15,15,15,0.73550724637681164,0.7308914445256931
2,0.17,15,15,0.75724637681159424,0.75455693678122715
2,0.19,15,15,0.72826086956521741,0.72314033105098718
2,0.21,15,15,0.86413043478260865,0.87249218905803372
2,0.23,15,15,0.72826086956521741,0.72272817921957055
2,0.25,15,15,0.86594202898550721,0.8737087017217311
2,0.27,15,15,0.82608695652173914,0.82963504620089079
2,0.29,15,15,0.86956521739130432,0.87284451239779304
3,0.01,15,15,0.83876811594202894,0.84615179902065152
3,0.03,15,15,0.82427536231884058,0.83188737492016185
3,0.05,15,15,0.84420289855072461,0.84931871407281245
3,0.07,15,15,0.74094202898550721,0.74486374281456247
3,0.09,15,15,0.81340579710144922,0.81618586331701093
3,0.11,15,15,0.75543478260869568,0.75699914839259108
3,0.13,15,15,0.83152173913043481,0.83965829252714497
3,0.15,15,15,0.8188405797101449,0.82063018948264854
3,0.17,15,15,0.80797101449275366,0.81898020012774109
3,0.19,15,15,0.83876811594202894,0.84615179902065152
3,0.21,15,15,0.77717391304347827,0.77946029380455606
3,0.23,15,15,0.83876811594202894,0.84615179902065152
3,0.25,15,15,0.83695652173913049,0.84452842239727488
3,0.27,15,15,0.78442028985507251,0.79574728550138385
3,0.29,15,15,0.83876811594202894,0.84615179902065152
4,0.01,15,15,0.71739130434782605,0.71306799380550889
4,0.03,15,15,0.76449275362318836,0.76122089714232777
4,0.05,15,15,0.84963768115942029,0.85484639515029581
4,0.07,15,15,0.78985507246376807,0.79010205027067815
4,0.09,15,15,0.72282608695652173,0.71838228481423139
4,0.11,15,15,0.85507246376811596,0.85949888155021115
4,0.13,15,15,0.75362318840579712,0.75125411973368983
4,0.15,15,15,0.84963768115942029,0.85484639515029581
4,0.17,15,15,0.85326086956521741,0.85816865428650846
4,0.19,15,15,0.75,0.74892456751068814
4,0.21,15,15,0.71739130434782605,0.71306799380550889
4,0.23,15,15,0.84963768115942029,0.85484639515029581
4,0.25,15,15,0.86413043478260865,0.86681182247753175
4,0.27,15,15,0.85326086956521741,0.85816865428650846
4,0.29,15,15,0.84963768115942029,0.85484639515029581
