fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.97069597069597069,0.96801780693533268
0,0.03,15,15,0.96886446886446886,0.96659735238987821
0,0.05,15,15,0.97435897435897434,0.97548617619493905
0,0.07,15,15,0.96703296703296704,0.96864749297094654
0,0.09,15,15,0.97252747252747251,0.97406572164948457
0,0.11,15,15,0.97435897435897434,0.97432931115276478
0,0.13,15,15,0.97435897435897434,0.97432931115276478
0,0.15,15,15,0.97435897435897434,0.97317244611059039
0,0.17,15,15,0.96886446886446886,0.96775421743205248
0,0.19,15,15,0.97619047619047616,0.97690663074039363
0,0.21,15,15,0.96703296703296704,0.96517689784442362
0,0.23,15,15,0.97435897435897434,0.97432931115276478
0,0.25,15,15,0.96886446886446886,0.97006794751640113
0,0.27,15,15,0.97069597069597069,0.97033153701968133
0,0.29,15,15,0.97069597069597069,0.97148840206185572
1,0.01,15,15,0.95970695970695974,0.95411109333410904
1,0.03,15,15,0.96153846153846156,0.96217619594781323
1,0.05,15,15,0.96886446886446886,0.96790685497360118
1,0.07,15,15,0.96703296703296704,0.96757959652669701
1,0.09,15,15,0.97252747252747251,0.9740884034151237
1,0.11,15,15,0.97069597069597069,0.97265573865867672
1,0.13,15,15,0.96703296703296704,0.96979040914578274
1,0.15,15,15,0.96520146520146521,0.96725233807979283
1,0.17,15,15,0.96886446886446886,0.97122307390222973
1,0.19,15,15,0.96336996336996339,0.96471426701380303
1,0.21,15,15,0.96336996336996339,0.96581967332334595
1,0.23,15,15,0.97069597069597069,0.97376114496821953
1,0.25,15,15,0.96520146520146521,0.96614693177025002
1,0.27,15,15,0.96886446886446886,0.97011766759268681
1,0.29,15,15,0.96703296703296704,0.96868500283623993
2,0.01,15,15,0.97069597069597069,0.96618652525583548
2,0.03,15,15,0.97619047619047616,0.97548895476144371
2,0.05,15,15,0.97802197802197799,0.97944379068416432
2,0.07,15,15,0.97985347985347981,0.98211758747560807
2,0.09,15,15,0.97802197802197799,0.98072482981544096
2,0.11,15,15,0.97985347985347981,0.98211758747560807
2,0.13,15,15,0.97985347985347981,0.98211758747560807
2,0.15,15,15,0.97985347985347981,0.98083654834433143
2,0.17,15,15,0.97985347985347981,0.98083654834433143
2,0.19,15,15,0.98168498168498164,0.98222930600449854
2,0.21,15,15,0.97802197802197799,0.98072482981544096
2,0.23,15,15,0.97802197802197799,0.98072482981544096
2,0.25,15,15,0.97985347985347981,0.98083654834433143
2,0.27,15,15,0.97619047619047616,0.97548895476144371
2,0.29,15,15,0.97985347985347981,0.98211758747560807
3,0.01,15,15,0.97074954296160876,0.971381793397736
3,0.03,15,15,0.97257769652650827,0.97277455105790311
3,0.05,15,15,0.97440585009140768,0.97543412552598818
3,0.07,15,15,0.97623400365630708,0.97936051680199143
3,0.09,15,15,0.979890310786106,0.98341284893024361
3,0.11,15,15,0.97440585009140768,0.97796775914182421
3,0.13,15,15,0.9780621572212066,0.98075327446215854
3,0.15,15,15,0.97074954296160876,0.97391542701357192
3,0.17,15,15,0.97623400365630708,0.97936051680199143
3,0.19,15,15,0.97623400365630708,0.97936051680199143
3,0.21,15,15,0.97257769652650827,0.97530818467373903
3,0.23,15,15,0.9780621572212066,0.98075327446215854
3,0.25,15,15,0.97440585009140768,0.97796775914182421
3,0.27,15,15,0.97440585009140768,0.97670094233390625
3,0.29,15,15,0.97623400365630708,0.97809369999407336
4,0.01,15,15,0.96892138939670935,0.96634232640424589
4,0.03,15,15,0.97257769652650827,0.97406752174554034
4,0.05,15,15,0.97074954296160876,0.97266696152145071
4,0.07,15,15,0.96892138939670935,0.97126640129736108
4,0.09,15,15,0.96709323583180984,0.96740380362671385
4,0.11,15,15,0.96892138939670935,0.97126640129736108
4,0.13,15,15,0.97257769652650827,0.97283650302226155
4,0.15,15,15,0.97257769652650827,0.97529854046881903
4,0.17,15,15,0.97440585009140768,0.97669910069290866
4,0.19,15,15,0.97440585009140768,0.97793011941618757
4,0.21,15,15,0.97074954296160876,0.97266696152145071
4,0.23,15,15,0.96709323583180984,0.96863482234999265
4,0.25,15,15,0.97440585009140768,0.97669910069290866
4,0.27,15,15,0.97074954296160876,0.97266696152145071
4,0.29,15,15,0.97074954296160876,0.97266696152145071
