fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.70374999999999999,0.6095111029321556
0,0.03,15,15,0.74124999999999996,0.64364801864801868
0,0.05,15,15,0.71999999999999997,0.66175929333824068
0,0.07,15,15,0.73499999999999999,0.64982824193350508
0,0.09,15,15,0.745,0.63440068703226593
0,0.11,15,15,0.72375,0.68284566310882111
0,0.13,15,15,0.72124999999999995,0.65999570604833768
0,0.15,15,15,0.72499999999999998,0.61777695988222303
0,0.17,15,15,0.69874999999999998,0.60073917310759417
0,0.19,15,15,0.75375000000000003,0.66030241688136426
0,0.21,15,15,0.70999999999999996,0.65344742976321923
0,0.23,15,15,0.73875000000000002,0.63662434057170902
0,0.25,15,15,0.74624999999999997,0.69594221567905779
0,0.27,15,15,0.745,0.63571954361428051
0,0.29,15,15,0.73499999999999999,0.62872653662127342
1,0.01,15,15,0.54874999999999996,0.62328705373241977
1,0.03,15,15,0.60499999999999998,0.66810914773410268
1,0.05,15,15,0.61750000000000005,0.67204591898064669
1,0.07,15,15,0.60250000000000004,0.67249669431422043
1,0.09,15,15,0.60999999999999999,0.67165524702488288
1,0.11,15,15,0.56000000000000005,0.61401610770525306
1,0.13,15,15,0.68125000000000002,0.70124113475177308
1,0.15,15,15,0.58374999999999999,0.61484252915013826
1,0.17,15,15,0.47875000000000001,0.59089133309291986
1,0.19,15,15,0.47249999999999998,0.59138718595985096
1,0.21,15,15,0.63624999999999998,0.67918319509556446
1,0.23,15,15,0.53125,0.61333994470489239
1,0.25,15,15,0.59624999999999995,0.66190347397523741
1,0.27,15,15,0.52749999999999997,0.62793003966822936
1,0.29,15,15,0.57125000000000004,0.64910145450174306
2,0.01,15,15,0.67874999999999996,0.59072727272727277
2,0.03,15,15,0.68500000000000005,0.63345454545454549
2,0.05,15,15,0.63624999999999998,0.64600000000000002
2,0.07,15,15,0.69750000000000001,0.61745454545454548
2,0.09,15,15,0.73624999999999996,0.69145454545454543
2,0.11,15,15,0.65375000000000005,0.58018181818181813
2,0.13,15,15,0.70750000000000002,0.67599999999999993
2,0.15,15,15,0.755,0.7018181818181819
2,0.17,15,15,0.72124999999999995,0.70454545454545459
2,0.19,15,15,0.72375,0.64090909090909087
2,0.21,15,15,0.63500000000000001,0.65709090909090906
2,0.23,15,15,0.59624999999999995,0.64200000000000002
2,0.25,15,15,0.69874999999999998,0.59872727272727277
2,0.27,15,15,0.64875000000000005,0.63654545454545453
2,0.29,15,15,0.64624999999999999,0.64236363636363636
3,0.01,15,15,0.62875000000000003,0.68241673409095971
3,0.03,15,15,0.53249999999999997,0.61000304337175904
3,0.05,15,15,0.65249999999999997,0.6935101952953926
3,0.07,15,15,0.67000000000000004,0.63757896065143005
3,0.09,15,15,0.5625,0.61966760442105417
3,0.11,15,15,0.64749999999999996,0.67813003362554647
3,0.13,15,15,0.53874999999999995,0.60385320556120514
3,0.15,15,15,0.67374999999999996,0.70399498214802669
3,0.17,15,15,0.60375000000000001,0.65862647436515998
3,0.19,15,15,0.63500000000000001,0.68216806834967603
3,0.21,15,15,0.6925,0.67728382781938701
3,0.23,15,15,0.66625000000000001,0.69390731819565166
3,0.25,15,15,0.64000000000000001,0.69282729236410601
3,0.27,15,15,0.64000000000000001,0.67276330732858769
3,0.29,15,15,0.58499999999999996,0.65701200276130312
4,0.01,15,15,0.57999999999999996,0.63688177973892257
4,0.03,15,15,0.57874999999999999,0.60520316234601945
4,0.05,15,15,0.62375000000000003,0.68323221180364047
4,0.07,15,15,0.64500000000000002,0.69398786541643687
4,0.09,15,15,0.65500000000000003,0.69777532634675499
4,0.11,15,15,0.54249999999999998,0.56995771281485563
4,0.13,15,15,0.63875000000000004,0.65300606729178168
4,0.15,15,15,0.58875,0.65572715572715579
4,0.17,15,15,0.52625,0.59700312557455415
4,0.19,15,15,0.60250000000000004,0.66221731936017658
4,0.21,15,15,0.53749999999999998,0.59599191027762455
4,0.23,15,15,0.60624999999999996,0.64668137525280378
4,0.25,15,15,0.62,0.68166942452656731
4,0.27,15,15,0.66500000000000004,0.69130354844640562
4,0.29,15,15,0.58374999999999999,0.64414414414414423
