fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.65104166666666663,0.64607819833941982
0,0.03,15,15,0.671875,0.67635290923931557
0,0.05,15,15,0.671875,0.67635290923931557
0,0.07,15,15,0.66666666666666663,0.67184426643442008
0,0.09,15,15,0.66666666666666663,0.67184426643442008
0,0.11,15,15,0.66666666666666663,0.67184426643442008
0,0.13,15,15,0.66666666666666663,0.67184426643442008
0,0.15,15,15,0.66666666666666663,0.67184426643442008
0,0.17,15,15,0.66666666666666663,0.67184426643442008
0,0.19,15,15,0.66666666666666663,0.67184426643442008
0,0.21,15,15,0.66666666666666663,0.67184426643442008
0,0.23,15,15,0.66666666666666663,0.67184426643442008
0,0.25,15,15,0.66666666666666663,0.67184426643442008
0,0.27,15,15,0.66666666666666663,0.67184426643442008
0,0.29,15,15,0.66666666666666663,0.67184426643442008
1,0.01,15,15,0.65625,0.64837242258448524
1,0.03,15,15,0.65625,0.66508910385273023
1,0.05,15,15,0.625,0.63652617888246488
1,0.07,15,15,0.625,0.63652617888246488
1,0.09,15,15,0.625,0.63652617888246488
1,0.11,15,15,0.625,0.63652617888246488
1,0.13,15,15,0.625,0.63652617888246488
1,0.15,15,15,0.625,0.63652617888246488
1,0.17,15,15,0.625,0.63652617888246488
1,0.19,15,15,0.625,0.63652617888246488
1,0.21,15,15,0.625,0.63652617888246488
1,0.23,15,15,0.625,0.63652617888246488
1,0.25,15,15,0.625,0.63652617888246488
1,0.27,15,15,0.625,0.63652617888246488
1,0.29,15,15,0.625,0.63652617888246488
2,0.01,15,15,0.63020833333333337,0.58316128073663653
2,0.03,15,15,0.640625,0.60052064613521761
2,0.05,15,15,0.640625,0.60052064613521761
2,0.07,15,15,0.640625,0.60052064613521761
2,0.09,15,15,0.640625,0.60052064613521761
2,0.11,15,15,0.640625,0.60052064613521761
2,0.13,15,15,0.640625,0.60052064613521761
2,0.15,15,15,0.640625,0.60052064613521761
2,0.17,15,15,0.640625,0.60052064613521761
2,0.19,15,15,0.640625,0.60052064613521761
2,0.21,15,15,0.640625,0.60052064613521761
2,0.23,15,15,0.640625,0.60052064613521761
2,0.25,15,15,0.640625,0.60052064613521761
2,0.27,15,15,0.640625,0.60052064613521761
2,0.29,15,15,0.640625,0.60052064613521761
3,0.01,15,15,0.71875,0.69024276157826403
3,0.03,15,15,0.71875,0.69466784387572567
3,0.05,15,15,0.71875,0.69466784387572567
3,0.07,15,15,0.71354166666666663,0.68982754297549131
3,0.09,15,15,0.71354166666666663,0.68982754297549131
3,0.11,15,15,0.71354166666666663,0.68982754297549131
3,0.13,15,15,0.71354166666666663,0.68982754297549131
3,0.15,15,15,0.71354166666666663,0.68982754297549131
3,0.17,15,15,0.71354166666666663,0.68982754297549131
3,0.19,15,15,0.71354166666666663,0.68982754297549131
3,0.21,15,15,0.71354166666666663,0.68982754297549131
3,0.23,15,15,0.71354166666666663,0.68982754297549131
3,0.25,15,15,0.71354166666666663,0.68982754297549131
3,0.27,15,15,0.71354166666666663,0.68982754297549131
3,0.29,15,15,0.71354166666666663,0.68982754297549131
4,0.01,15,15,0.703125,0.65872196391546911
4,0.03,15,15,0.69791666666666663,0.65359957667674529
4,0.05,15,15,0.69791666666666663,0.65359957667674529
4,0.07,15,15,0.69791666666666663,0.65359957667674529
4,0.09,15,15,0.69791666666666663,0.65359957667674529
4,0.11,15,15,0.69791666666666663,0.65359957667674529
4,0.13,15,15,0.69791666666666663,0.65359957667674529
4,0.15,15,15,0.69791666666666663,0.65359957667674529
4,0.17,15,15,0.69791666666666663,0.65359957667674529
4,0.19,15,15,0.69791666666666663,0.65359957667674529
4,0.21,15,15,0.69791666666666663,0.65359957667674529
4,0.23,15,15,0.69791666666666663,0.65359957667674529
4,0.25,15,15,0.69791666666666663,0.65359957667674529
4,0.27,15,15,0.69791666666666663,0.65359957667674529
4,0.29,15,15,0.69791666666666663,0.65359957667674529
