fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.80092592592592593,0.7987720511933587
0,0.03,15,15,0.77314814814814814,0.77767208578346592
0,0.05,15,15,0.77314814814814814,0.77594258042199926
0,0.07,15,15,0.80092592592592593,0.80482531995849182
0,0.09,15,15,0.76851851851851849,0.77516430300933936
0,0.11,15,15,0.7592592592592593,0.76323071601521963
0,0.13,15,15,0.77777777777777779,0.78277412659979251
0,0.15,15,15,0.81481481481481477,0.81494292632307164
0,0.17,15,15,0.77314814814814814,0.77507782774126599
0,0.19,15,15,0.78240740740740744,0.78528190937391906
0,0.21,15,15,0.80092592592592593,0.80396056727775855
0,0.23,15,15,0.75462962962962965,0.75899342787962643
0,0.25,15,15,0.78240740740740744,0.78095814597025248
0,0.27,15,15,0.75462962962962965,0.76072293324109308
0,0.29,15,15,0.7592592592592593,0.76409546869595291
1,0.01,15,15,0.79166666666666663,0.7875342829337344
1,0.03,15,15,0.82870370370370372,0.82911616385030529
1,0.05,15,15,0.81481481481481477,0.8072193223038131
1,0.07,15,15,0.81018518518518523,0.80496328408387152
1,0.09,15,15,0.78240740740740744,0.78134123683977708
1,0.11,15,15,0.83796296296296291,0.83867114925241082
1,0.13,15,15,0.79629629629629628,0.79651419976997251
1,0.15,15,15,0.76388888888888884,0.75886932672741758
1,0.17,15,15,0.85648148148148151,0.84769530213217725
1,0.19,15,15,0.82407407407407407,0.82854109528443776
1,0.21,15,15,0.83333333333333337,0.83641511103246924
1,0.23,15,15,0.83333333333333337,0.83641511103246924
1,0.25,15,15,0.81944444444444442,0.81788020879412549
1,0.27,15,15,0.82870370370370372,0.81903034592586033
1,0.29,15,15,0.84259259259259256,0.83588427851013003
2,0.01,15,15,0.82870370370370372,0.82109612875163118
2,0.03,15,15,0.81018518518518523,0.79778164419312747
2,0.05,15,15,0.83796296296296291,0.83501522401043937
2,0.07,15,15,0.83796296296296291,0.83275337103088298
2,0.09,15,15,0.78240740740740744,0.76733362331448451
2,0.11,15,15,0.81944444444444442,0.81848629839060461
2,0.13,15,15,0.75462962962962965,0.74254023488473253
2,0.15,15,15,0.83333333333333337,0.82409743366681165
2,0.17,15,15,0.81481481481481477,0.81096128751631147
2,0.19,15,15,0.81481481481481477,0.80191387559808613
2,0.21,15,15,0.82870370370370372,0.81996520226185299
2,0.23,15,15,0.80092592592592593,0.79404088734232281
2,0.25,15,15,0.80092592592592593,0.78951718138321014
2,0.27,15,15,0.79629629629629628,0.78538494997825148
2,0.29,15,15,0.78703703703703709,0.77259678120922137
3,0.01,15,15,0.81481481481481477,0.81424148606811153
3,0.03,15,15,0.82870370370370372,0.83049535603715174
3,0.05,15,15,0.7592592592592593,0.76418988648090813
3,0.07,15,15,0.81018518518518523,0.81346749226006199
3,0.09,15,15,0.78703703703703709,0.79102167182662542
3,0.11,15,15,0.81018518518518523,0.8119195046439629
3,0.13,15,15,0.81944444444444442,0.82120743034055721
3,0.15,15,15,0.81481481481481477,0.81578947368421062
3,0.17,15,15,0.81944444444444442,0.82223942208462331
3,0.19,15,15,0.80555555555555558,0.80856553147574828
3,0.21,15,15,0.80092592592592593,0.80314757481940147
3,0.23,15,15,0.80092592592592593,0.80417956656346745
3,0.25,15,15,0.79166666666666663,0.79282765737874095
3,0.27,15,15,0.82407407407407407,0.82610939112487103
3,0.29,15,15,0.81481481481481477,0.8173374613003096
4,0.01,15,15,0.80555555555555558,0.80312499999999998
4,0.03,15,15,0.75462962962962965,0.74687499999999996
4,0.05,15,15,0.81481481481481477,0.80833333333333335
4,0.07,15,15,0.77314814814814814,0.76770833333333333
4,0.09,15,15,0.81944444444444442,0.80729166666666663
4,0.11,15,15,0.80092592592592593,0.79166666666666674
4,0.13,15,15,0.81481481481481477,0.80833333333333335
4,0.15,15,15,0.74537037037037035,0.73958333333333326
4,0.17,15,15,0.81481481481481477,0.80729166666666674
4,0.19,15,15,0.81481481481481477,0.8052083333333333
4,0.21,15,15,0.81944444444444442,0.81770833333333337
4,0.23,15,15,0.80092592592592593,0.796875
4,0.25,15,15,0.81018518518518523,0.80625000000000002
4,0.27,15,15,0.81018518518518523,0.79791666666666661
4,0.29,15,15,0.81481481481481477,0.80937499999999996
