fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.72142857142857142,0.76777777777777778
0,0.03,15,15,0.66428571428571426,0.73666666666666669
0,0.05,15,15,0.65357142857142858,0.72166666666666668
0,0.07,15,15,0.63571428571428568,0.71444444444444444
0,0.09,15,15,0.61071428571428577,0.69055555555555559
0,0.11,15,15,0.65000000000000002,0.72333333333333338
0,0.13,15,15,0.63571428571428568,0.7122222222222222
0,0.15,15,15,0.65000000000000002,0.72333333333333338
0,0.17,15,15,0.65357142857142858,0.72388888888888892
0,0.19,15,15,0.59999999999999998,0.68444444444444441
0,0.21,15,15,0.56428571428571428,0.65888888888888886
0,0.23,15,15,0.61071428571428577,0.69500000000000006
0,0.25,15,15,0.64642857142857146,0.72277777777777774
0,0.27,15,15,0.65714285714285714,0.72222222222222221
0,0.29,15,15,0.64642857142857146,0.71833333333333327
1,0.01,15,15,0.64768683274021355,0.65387775221820577
1,0.03,15,15,0.65836298932384341,0.67912695804578815
1,0.05,15,15,0.65480427046263345,0.6826596560411875
1,0.07,15,15,0.6512455516014235,0.66932303647716074
1,0.09,15,15,0.65480427046263345,0.69952897360061339
1,0.11,15,15,0.67259786476868333,0.7156041187424691
1,0.13,15,15,0.66548042704626331,0.7100175265636981
1,0.15,15,15,0.66192170818505336,0.67770292474531713
1,0.17,15,15,0.66548042704626331,0.69103954430934378
1,0.19,15,15,0.64412811387900359,0.66373644429838974
1,0.21,15,15,0.66903914590747326,0.70648482856829875
1,0.23,15,15,0.67259786476868333,0.71982144813232551
1,0.25,15,15,0.66903914590747326,0.69805016978858592
1,0.27,15,15,0.67259786476868333,0.70506079526782783
1,0.29,15,15,0.66903914590747326,0.68750684631394454
2,0.01,15,15,0.80427046263345192,0.79846187411366865
2,0.03,15,15,0.69395017793594305,0.72979164394022034
2,0.05,15,15,0.68327402135231319,0.73159157848805501
2,0.07,15,15,0.72597864768683273,0.75711792298461877
2,0.09,15,15,0.66548042704626331,0.71959201483582413
2,0.11,15,15,0.68683274021352314,0.72621904658012437
2,0.13,15,15,0.69395017793594305,0.73183702410821416
2,0.15,15,15,0.66548042704626331,0.71345587433184243
2,0.17,15,15,0.66192170818505336,0.71064688556779754
2,0.19,15,15,0.68683274021352314,0.73235518708410607
2,0.21,15,15,0.69395017793594305,0.73592778444420204
2,0.23,15,15,0.72241992882562278,0.75635431438856771
2,0.25,15,15,0.69039145907473309,0.73925493618413873
2,0.27,15,15,0.67615658362989328,0.7198374604559834
2,0.29,15,15,0.67971530249110323,0.72264644922002841
3,0.01,15,15,0.78647686832740216,0.79600954600954599
3,0.03,15,15,0.75800711743772242,0.77172827172827174
3,0.05,15,15,0.79359430604982206,0.81302031302031308
3,0.07,15,15,0.74733096085409256,0.77500277500277504
3,0.09,15,15,0.79715302491103202,0.82498057498057498
3,0.11,15,15,0.80071174377224197,0.81160506160506163
3,0.13,15,15,0.80427046263345192,0.81435231435231437
3,0.15,15,15,0.74733096085409256,0.76809301809301811
3,0.17,15,15,0.81850533807829184,0.82764457764457755
3,0.19,15,15,0.83629893238434161,0.83907758907758911
3,0.21,15,15,0.86476868327402134,0.87948162948162945
3,0.23,15,15,0.81850533807829184,0.83455433455433448
3,0.25,15,15,0.84341637010676151,0.84917859917859917
3,0.27,15,15,0.73309608540925264,0.76631701631701632
3,0.29,15,15,0.81494661921708189,0.8341103341103342
4,0.01,15,15,0.74733096085409256,0.77701657458563544
4,0.03,15,15,0.76512455516014233,0.78859116022099451
4,0.05,15,15,0.697508896797153,0.751767955801105
4,0.07,15,15,0.697508896797153,0.74729281767955802
4,0.09,15,15,0.74377224199288261,0.76306629834254136
4,0.11,15,15,0.65480427046263345,0.72085635359116018
4,0.13,15,15,0.70462633451957291,0.73715469613259665
4,0.15,15,15,0.64056939501779364,0.70980662983425413
4,0.17,15,15,0.66192170818505336,0.7196685082872929
4,0.19,15,15,0.70818505338078297,0.74886740331491719
4,0.21,15,15,0.64412811387900359,0.70585635359116028
4,0.23,15,15,0.66903914590747326,0.73190607734806634
4,0.25,15,15,0.69395017793594305,0.72439226519337008
4,0.27,15,15,0.67615658362989328,0.73071823204419895
4,0.29,15,15,0.66903914590747326,0.72743093922651936
