fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.94444444444444442,0.93947031430985228
0,0.03,15,15,0.94999999999999996,0.94547108860330942
0,0.05,15,15,0.94999999999999996,0.94547108860330942
0,0.07,15,15,0.94999999999999996,0.94547108860330942
0,0.09,15,15,0.94999999999999996,0.94547108860330942
0,0.11,15,15,0.94999999999999996,0.94547108860330942
0,0.13,15,15,0.94999999999999996,0.94547108860330942
0,0.15,15,15,0.94999999999999996,0.94547108860330942
0,0.17,15,15,0.94999999999999996,0.94547108860330942
0,0.19,15,15,0.94999999999999996,0.94547108860330942
0,0.21,15,15,0.94999999999999996,0.94547108860330942
0,0.23,15,15,0.94999999999999996,0.94547108860330942
0,0.25,15,15,0.94999999999999996,0.94547108860330942
0,0.27,15,15,0.94999999999999996,0.94547108860330942
0,0.29,15,15,0.94999999999999996,0.94547108860330942
1,0.01,15,15,0.96111111111111114,0.95568217790440002
1,0.03,15,15,0.96111111111111114,0.95568217790440002
1,0.05,15,15,0.96111111111111114,0.95568217790440002
1,0.07,15,15,0.96111111111111114,0.95568217790440002
1,0.09,15,15,0.96111111111111114,0.95568217790440002
1,0.11,15,15,0.96111111111111114,0.95568217790440002
1,0.13,15,15,0.96111111111111114,0.95568217790440002
1,0.15,15,15,0.96111111111111114,0.95568217790440002
1,0.17,15,15,0.96111111111111114,0.95568217790440002
1,0.19,15,15,0.96111111111111114,0.95568217790440002
1,0.21,15,15,0.96111111111111114,0.95568217790440002
1,0.23,15,15,0.96111111111111114,0.95568217790440002
1,0.25,15,15,0.96111111111111114,0.95568217790440002
1,0.27,15,15,0.96111111111111114,0.95568217790440002
1,0.29,15,15,0.96111111111111114,0.95568217790440002
2,0.01,15,15,0.93888888888888888,0.93207780179067612
2,0.03,15,15,0.93888888888888888,0.93207780179067612
2,0.05,15,15,0.93888888888888888,0.93207780179067612
2,0.07,15,15,0.93888888888888888,0.93207780179067612
2,0.09,15,15,0.93888888888888888,0.93207780179067612
2,0.11,15,15,0.93888888888888888,0.93207780179067612
2,0.13,15,15,0.93888888888888888,0.93207780179067612
2,0.15,15,15,0.93888888888888888,0.93207780179067612
2,0.17,15,15,0.93888888888888888,0.93207780179067612
2,0.19,15,15,0.93888888888888888,0.93207780179067612
2,0.21,15,15,0.93888888888888888,0.93207780179067612
2,0.23,15,15,0.93888888888888888,0.93207780179067612
2,0.25,15,15,0.93888888888888888,0.93207780179067612
2,0.27,15,15,0.93888888888888888,0.93207780179067612
2,0.29,15,15,0.93888888888888888,0.93207780179067612
3,0.01,15,15,0.92777777777777781,0.91753939429833908
3,0.03,15,15,0.92777777777777781,0.91753939429833908
3,0.05,15,15,0.92777777777777781,0.91753939429833908
3,0.07,15,15,0.92777777777777781,0.91753939429833908
3,0.09,15,15,0.92777777777777781,0.91753939429833908
3,0.11,15,15,0.92777777777777781,0.91753939429833908
3,0.13,15,15,0.92777777777777781,0.91753939429833908
3,0.15,15,15,0.92777777777777781,0.91753939429833908
3,0.17,15,15,0.92777777777777781,0.91753939429833908
3,0.19,15,15,0.92777777777777781,0.91753939429833908
3,0.21,15,15,0.92777777777777781,0.91753939429833908
3,0.23,15,15,0.92777777777777781,0.91753939429833908
3,0.25,15,15,0.92777777777777781,0.91753939429833908
3,0.27,15,15,0.92777777777777781,0.91753939429833908
3,0.29,15,15,0.92777777777777781,0.91753939429833908
4,0.01,15,15,0.94444444444444442,0.93487994440642241
4,0.03,15,15,0.94999999999999996,0.94233395662367359
4,0.05,15,15,0.94999999999999996,0.94233395662367359
4,0.07,15,15,0.94999999999999996,0.94233395662367359
4,0.09,15,15,0.94999999999999996,0.94233395662367359
4,0.11,15,15,0.94999999999999996,0.94233395662367359
4,0.13,15,15,0.94999999999999996,0.94233395662367359
4,0.15,15,15,0.94999999999999996,0.94233395662367359
4,0.17,15,15,0.94999999999999996,0.94233395662367359
4,0.19,15,15,0.94999999999999996,0.94233395662367359
4,0.21,15,15,0.94999999999999996,0.94233395662367359
4,0.23,15,15,0.94999999999999996,0.94233395662367359
4,0.25,15,15,0.94999999999999996,0.94233395662367359
4,0.27,15,15,0.94999999999999996,0.94233395662367359
4,0.29,15,15,0.94999999999999996,0.94233395662367359
