fold,radius,grain,limit,accuracy,bac
0,0.01,15,15,0.98648648648648651,0.97395833333333348
0,0.03,15,15,0.98648648648648651,0.97395833333333348
0,0.05,15,15,1.0,1.0
0,0.07,15,15,0.98648648648648651,0.97470238095238093
0,0.09,15,15,1.0,1.0
0,0.11,15,15,1.0,1.0
0,0.13,15,15,0.98648648648648651,0.97395833333333348
0,0.15,15,15,0.98648648648648651,0.9809027777777779
0,0.17,15,15,0.98648648648648651,0.97395833333333348
0,0.19,15,15,1.0,1.0
0,0.21,15,15,1.0,1.0
0,0.23,15,15,0.95945945945945943,0.93576388888888884
0,0.25,15,15,0.89189189189189189,0.8472222222222221
0,0.27,15,15,0.94594594594594594,0.94540942928039706
0,0.29,15,15,0.86486486486486491,0.80208333333333348
1,0.01,15,15,0.86486486486486491,0.88155241935483875
1,0.03,15,15,0.78378378378378377,0.79039458525345618
1,0.05,15,15,0.82432432432432434,0.84601814516129026
1,0.07,15,15,0.85135135135135132,0.86970766129032251
1,0.09,15,15,0.91891891891891897,0.92893145161290325
1,0.11,15,15,0.83783783783783783,0.84781826036866359
1,0.13,15,15,0.83783783783783783,0.85786290322580649
1,0.15,15,15,0.83783783783783783,0.85786290322580649
1,0.17,15,15,0.83783783783783783,0.85786290322580649
1,0.19,15,15,0.86486486486486491,0.88155241935483875
1,0.21,15,15,0.83783783783783783,0.85786290322580649
1,0.23,15,15,0.81081081081081086,0.83417338709677424
1,0.25,15,15,0.85135135135135132,0.86957325268817209
1,0.27,15,15,0.90540540540540537,0.91708669354838712
1,0.29,15,15,0.83783783783783783,0.85786290322580649
2,0.01,15,15,0.86486486486486491,0.88155241935483875
2,0.03,15,15,0.78378378378378377,0.79039458525345618
2,0.05,15,15,0.82432432432432434,0.84601814516129026
2,0.07,15,15,0.85135135135135132,0.86970766129032251
2,0.09,15,15,0.91891891891891897,0.92893145161290325
2,0.11,15,15,0.83783783783783783,0.84781826036866359
2,0.13,15,15,0.83783783783783783,0.85786290322580649
2,0.15,15,15,0.83783783783783783,0.85786290322580649
2,0.17,15,15,0.83783783783783783,0.85786290322580649
2,0.19,15,15,0.86486486486486491,0.88155241935483875
2,0.21,15,15,0.83783783783783783,0.85786290322580649
2,0.23,15,15,0.81081081081081086,0.83417338709677424
2,0.25,15,15,0.85135135135135132,0.86957325268817209
2,0.27,15,15,0.90540540540540537,0.91708669354838712
2,0.29,15,15,0.83783783783783783,0.85786290322580649
3,0.01,15,15,0.94736842105263153,0.92940760389036259
3,0.03,15,15,0.94736842105263153,0.92270833333333324
3,0.05,15,15,0.94736842105263153,0.9244444444444444
3,0.07,15,15,0.92105263157894735,0.8866666666666666
3,0.09,15,15,0.96052631578947367,0.94333333333333325
3,0.11,15,15,0.98684210526315785,0.98111111111111116
3,0.13,15,15,0.89473684210526316,0.83847222222222229
3,0.15,15,15,0.92105263157894735,0.89659298555850286
3,0.17,15,15,0.88157894736842102,0.82652777777777775
3,0.19,15,15,0.94736842105263153,0.9244444444444444
3,0.21,15,15,0.94736842105263153,0.92527777777777775
3,0.23,15,15,0.93421052631578949,0.9038194444444444
3,0.25,15,15,0.97368421052631582,0.9622222222222222
3,0.27,15,15,0.94736842105263153,0.9244444444444444
3,0.29,15,15,0.90789473684210531,0.86430555555555555
4,0.01,15,15,0.84210526315789469,0.84018631110886399
4,0.03,15,15,0.96052631578947367,0.96484375
4,0.05,15,15,0.93421052631578949,0.93938577586206895
4,0.07,15,15,0.97368421052631582,0.97631048387096775
4,0.09,15,15,0.90789473684210531,0.89279649947753392
4,0.11,15,15,0.96052631578947367,0.96363146551724133
4,0.13,15,15,0.93421052631578949,0.93994194938820907
4,0.15,15,15,0.90789473684210531,0.91514008620689657
4,0.17,15,15,0.94736842105263153,0.9526209677419355
4,0.19,15,15,0.94736842105263153,0.94704861111111116
4,0.21,15,15,0.81578947368421051,0.80089281826889591
4,0.23,15,15,0.93421052631578949,0.94077620967741937
4,0.25,15,15,0.93421052631578949,0.94022003615127914
4,0.27,15,15,0.93421052631578949,0.93386556049932024
4,0.29,15,15,0.82894736842105265,0.8200594305120168
